"A"	"B"
"s.2"	1	0
"s.3"	1	0
"s.4"	1	0
"s.8"	1	0
"s.10"	1	0
"s.14"	1	0
"s.18"	1	0
"s.19"	1	0
"s.20"	1	0
"s.22"	1	0
"s.25"	1	0
"s.26"	1	0
"s.27"	1	0
"s.29"	1	0
"s.30"	1	0
"s.33"	1	0
"s.36"	1	0
"s.37"	1	0
"s.38"	1	0
"s.39"	1	0
"s.41"	1	0
"s.42"	1	0
"s.45"	1	0
"s.47"	1	0
"s.65"	1	0
"s.66"	1	0
"s.67"	1	0
"s.71"	1	0
"s.77"	1	0
"s.83"	1	0
"s.87"	1	0
"s.89"	1	0
"s.90"	1	0
"s.92"	1	0
"s.94"	1	0
"s.99"	1	0
"s.104"	1	0
"s.107"	1	0
"s.110"	1	0
"s.114"	1	0
"s.115"	1	0
"s.116"	1	0
"s.122"	1	0
"s.125"	1	0
"s.129"	1	0
"s.130"	1	0
"s.133"	1	0
"s.137"	1	0
"s.143"	1	0
"s.144"	1	0
"s.154"	1	0
"s.157"	1	0
"s.158"	1	0
"s.164"	1	0
"s.167"	1	0
"s.170"	1	0
"s.172"	1	0
"s.173"	1	0
"s.174"	1	0
"s.175"	1	0
"s.179"	1	0
"s.181"	1	0
"s.183"	1	0
"s.184"	1	0
"s.191"	1	0
"s.198"	1	0
"s.202"	1	0
"s.205"	1	0
"s.206"	1	0
"s.208"	1	0
"s.210"	1	0
"s.212"	1	0
"s.213"	1	0
"s.217"	1	0
"s.218"	1	0
"s.221"	1	0
"s.228"	1	0
"s.230"	1	0
"s.232"	1	0
"s.235"	1	0
"s.238"	1	0
"s.239"	1	0
"s.240"	1	0
"s.242"	1	0
"s.245"	1	0
"s.249"	1	0
"s.251"	1	0
"s.253"	1	0
"s.254"	1	0
"s.255"	1	0
"s.256"	1	0
"s.263"	1	0
"s.269"	1	0
"s.270"	1	0
"s.273"	1	0
"s.275"	1	0
"s.276"	1	0
"s.277"	1	0
"s.278"	1	0
"s.280"	1	0
"s.282"	1	0
"s.284"	1	0
"s.287"	1	0
"s.294"	1	0
"s.295"	1	0
"s.303"	1	0
"s.315"	1	0
"s.321"	1	0
"s.325"	1	0
"s.329"	1	0
"s.332"	0	1
"s.333"	0	1
"s.334"	0	1
"s.338"	0	1
"s.340"	0	1
"s.344"	0	1
"s.348"	0	1
"s.349"	0	1
"s.350"	0	1
"s.352"	0	1
"s.355"	0	1
"s.356"	0	1
"s.357"	0	1
"s.359"	0	1
"s.360"	0	1
"s.363"	0	1
"s.366"	0	1
"s.367"	0	1
"s.368"	0	1
"s.369"	0	1
"s.371"	0	1
"s.372"	0	1
"s.375"	0	1
"s.377"	0	1
"s.395"	0	1
"s.396"	0	1
"s.397"	0	1
"s.401"	0	1
"s.407"	0	1
"s.413"	0	1
"s.417"	0	1
"s.419"	0	1
"s.420"	0	1
"s.422"	0	1
"s.424"	0	1
"s.429"	0	1
"s.434"	0	1
"s.437"	0	1
"s.440"	0	1
"s.444"	0	1
"s.445"	0	1
"s.446"	0	1
"s.452"	0	1
"s.455"	0	1
"s.459"	0	1
"s.460"	0	1
"s.463"	0	1
"s.467"	0	1
"s.473"	0	1
"s.474"	0	1
"s.484"	0	1
"s.487"	0	1
"s.488"	0	1
"s.494"	0	1
"s.497"	0	1
"s.500"	0	1
"s.502"	0	1
"s.503"	0	1
"s.504"	0	1
"s.505"	0	1
"s.509"	0	1
"s.511"	0	1
"s.513"	0	1
"s.514"	0	1
"s.521"	0	1
"s.528"	0	1
"s.532"	0	1
"s.535"	0	1
"s.536"	0	1
"s.538"	0	1
"s.540"	0	1
"s.542"	0	1
"s.543"	0	1
"s.547"	0	1
"s.548"	0	1
"s.551"	0	1
"s.558"	0	1
"s.560"	0	1
"s.562"	0	1
"s.565"	0	1
"s.568"	0	1
"s.569"	0	1
"s.570"	0	1
"s.572"	0	1
"s.575"	0	1
"s.579"	0	1
"s.581"	0	1
"s.583"	0	1
"s.584"	0	1
"s.585"	0	1
"s.586"	0	1
"s.593"	0	1
"s.599"	0	1
"s.600"	0	1
"s.603"	0	1
"s.605"	0	1
"s.606"	0	1
"s.607"	0	1
"s.608"	0	1
"s.610"	0	1
"s.612"	0	1
"s.614"	0	1
"s.617"	0	1
"s.624"	0	1
"s.625"	0	1
"s.633"	0	1
"s.645"	0	1
"s.651"	0	1
"s.655"	0	1
"s.659"	0	1
