"s.1"	"s.2"	"s.4"	"s.5"	"s.7"	"s.8"	"s.9"	"s.10"	"s.11"	"s.12"	"s.13"	"s.16"	"s.18"	"s.19"	"s.20"	"s.21"	"s.22"	"s.23"	"s.26"	"s.27"	"s.28"	"s.29"	"s.30"	"s.31"	"s.32"	"s.36"	"s.37"	"s.39"	"s.40"	"s.41"	"s.42"	"s.44"	"s.45"	"s.46"	"s.49"	"s.50"	"s.52"	"s.56"	"s.57"	"s.58"	"s.61"	"s.62"	"s.63"	"s.64"	"s.65"	"s.66"
"prt1"	-1.09292856575878	-0.48271938578468	-2.91603986281134	0.31584402295828	1.28923266924878	-2.49727265015527	NA	1.19660671171533	-2.18566839218044	NA	1.1533250757262	0.47143100941224	3.73624152466181	-2.5965966326379	0.536959120514136	NA	-0.654322829235735	-0.412912317376359	2.0253992503356	-1.29237003531486	1.17596134486081	-0.876723159029586	1.18784780067354	NA	0.613476869433099	-0.0366697708279768	-0.242909591477312	2.06757315761121	-0.44814056999279	2.00786031092972	NA	-2.36755711822608	2.12972720265935	-1.16995848440251	NA	-0.984198083369098	-0.353838295195498	-1.39905697293151	0.34455119610237	-1.20126763042394	-1.39940395926761	NA	0.237551914385505	-2.61625961092032	NA	-0.535954501640604
"prt2"	1.07646909089481	4.77679250533305	1.57407113291288	3.53184074413056	1.24365642781488	3.25232248048293	NA	0.567386600834485	NA	3.38234153606778	1.41540196135047	0.64042759620849	3.08429803217035	1.13147564227157	1.96239886929479	1.27227906159194	NA	1.07132142921193	4.31339814754894	2.75396532684396	4.52590005972391	1.4458789696803	2.496688156793	0.651269883675512	2.60783216768056	NA	2.48369542402605	2.94314621042778	1.45813787314115	0.947734169005217	0.635476061475481	2.29491812050335	1.53292042580801	1.51541825628626	-1.28843367979902	1.52466553742093	1.58850946359046	2.6184290858478	0.953220227119219	0.570377109058434	1.0650717568863	2.00584897554361	1.71991345859401	1.88409005078616	2.74753451061272	1.87252609239952
"prt3"	0.745204899151131	NA	1.16350802440368	-0.332574861073618	1.39179603085478	-1.09458801884746	NA	1.18005409620026	-2.65879983866331	-0.266510448647955	1.55504538084763	0.0311809264785256	-1.55969966067565	-1.00508454673879	NA	1.44983266429426	-1.06019828859874	0.945762118837953	-0.58442310661074	NA	NA	NA	-0.472847627050136	0.390572298930038	1.71765683230334	-0.968509301821279	0.630588672506823	2.97328583862708	NA	1.00779838453666	-0.941793054175059	0.504206870607787	2.69990985853506	-1.80378533119642	NA	-1.00189897991237	NA	-0.768591774184116	-1.19620661719772	-0.451153661885087	-1.96087914426052	0.967893761556535	-0.369116785876658	-0.702162713795137	0.282884841267984	0.345575946831759
"prt4"	-0.416552978958764	-0.956353798133509	-1.71035357872461	-1.17600782584174	0.0314216269060203	-0.53435408890752	NA	0.756917032811343	1.17219655060411	-1.40431423768758	-0.612095728892841	-1.38858870653917	0.415307615327801	-0.806459926977601	1.25926740747979	-1.13322843114789	-0.0968092965775907	-0.91936400767038	NA	-1.461834084038	-0.872755812418922	NA	-0.180083292388791	-0.605175167309815	-0.190041094740007	NA	0.0531762857683163	-1.53273897162898	0.560387768512452	1.51747780304911	-0.203080160491725	NA	NA	-0.51848874047892	-0.533279777070691	-0.458381337914663	0.534573024551744	-0.754752045158233	-1.99290063722757	-0.919786427577337	1.57006724529299	-0.412435619441959	NA	-0.444429524073421	-0.590349692657605	NA
"prt5"	-1.18254514038235	-0.339672282058122	-1.07573080590883	0.121149727248694	1.6598009407582	0.29240098712088	-1.5924095005805	-0.68782962025392	1.56340433891462	3.87565574441869	-0.800421445642935	-1.08402391258743	NA	1.00308758185876	0.885303641811866	NA	NA	0.0159556252878767	-1.78070623186416	1.85792193563414	-0.394511718932673	-1.49733645296305	-0.46244039668326	-2.2021756721032	0.181553732583135	0.593737202723673	NA	0.981822245201105	0.297185942413259	0.570443985696488	0.558031271632495	-3.37216887196725	1.31945792559197	-1.99399394119965	1.3800148620754	-0.629638508201024	-1.42939295319833	-0.60432782225699	-2.13859643610104	0.132868302807028	-1.24550599138773	NA	1.24900237871461	0.381406729102116	-0.852700617913318	NA
"prt6"	4.45773823380349	6.53789325670472	4.81652482804116	NA	3.47964445957594	3.5417227470013	NA	4.78341100375403	3.01008769259894	5.31990320557088	NA	3.10000147976728	4.41055573414851	4.07362977323017	3.66553106346362	2.97848413970408	NA	3.48133481785518	4.34713956260501	4.02305893940712	4.4741847741573	NA	3.60455856811727	3.31067554721871	5.8974571911617	NA	6.88815856513185	4.54240384244518	4.04323115848984	3.14897660748403	NA	2.86306546683772	3.36606517168113	5.24502337620079	2.04838728401496	3.59358689410694	3.39275455557161	2.10887519831676	NA	NA	3.40454700247868	6.9968043886235	2.71306579480892	4.01997289132242	2.62701842700068	2.93304318214413
"prt7"	1.12365999310084	1.344675375277	-0.00138258137144279	0.508300710238879	NA	2.44582803072033	-0.725018242006361	NA	-0.00018934541485599	-3.13967861533452	-1.71073245842778	-0.938089297403586	2.24477377963672	0.808483347071745	2.19763267238324	1.29187448447064	4.34803677774835	2.18559345593384	-1.7044135538197	-1.32863979755371	0.0220603055630531	1.54872752446451	-1.14218244272055	-2.87002255485139	-1.95494514511387	1.86834916127749	2.69399138293556	-1.11690718591553	1.10255193289046	0.85412835688306	-0.298473188472292	-1.95647261045658	1.8941915350959	2.68714467321571	-0.572026890996425	-1.26996582622378	NA	NA	-0.975081540768961	0.154695316249904	-0.394216331641926	1.02309722600929	0.367478605707273	3.99156042082472	2.75403158693809	-0.851378585074379
"prt8"	0.477454960999132	NA	2.46817115692212	0.489250017613717	-3.23282459322442	NA	1.620242352856	4.60445919937005	0.873092202220107	-0.517854625833998	-4.01702162368785	2.06423211328111	0.474929971956642	NA	3.26271370680376	2.01324507970367	3.60834363206975	2.08315628539549	2.22655826837254	-0.574305374025243	3.83937535940303	2.02381460164885	3.46287459606912	1.43363539333468	0.430584610627185	-1.02695305004003	2.03733262935066	-1.35907202373365	0.116056541205304	NA	1.99344609381793	4.03371204287061	-1.21756650240127	0.38748971266959	NA	0.655506338180144	-2.0367469160015	-0.261440916340604	-0.522504146492369	0.567406912715434	-1.01904457072379	-2.44532947116541	-0.765128913688438	-2.0826208171796	0.0418955844366754	NA
"prt9"	-1.7815389839817	1.68843294619371	-0.736875426650462	-0.404637788706849	-1.28499679493717	0.44525934193016	-1.04232870200989	-2.00699616853295	-1.85181683983649	-2.23553428010624	-1.1393188354503	NA	1.32069863535759	0.56771631948071	0.258157965300586	-0.173660559595654	0.786216132281693	-0.980441258284042	0.911407107665705	1.73034276718283	2.16885844561295	NA	4.110068237062	0.906849465032773	-2.10772843446514	1.06444842521136	0.788530652378836	1.54322830569357	NA	0.830018100669731	0.35307691111071	0.822967339301787	0.233986142598128	1.72013727175528	-1.69524973794481	NA	-0.98942464881638	0.0737548012169985	-2.4877845504682	0.282554949064702	NA	0.938013930388557	-1.64338181811824	-1.19388778007949	-0.830339720322439	-0.962926871043785
"prt10"	NA	-3.84256221793333	NA	NA	-0.970490586182756	-1.67243051390493	-0.494826526933887	1.21409180513949	-0.29633276774743	-2.42608804683634	-1.376851707715	-0.625457008850053	-2.48629644968638	1.88791188663891	-2.13895922939844	0.761535636164214	0.148716958255031	-1.44558077937715	-2.30590457944921	1.70881753391297	NA	-4.77787092552787	4.44264419107288	1.52376407554915	-0.0675666519058989	-2.52059194480403	2.38231098929453	-2.20455897398486	0.354227665912019	NA	NA	-1.86894625430318	-0.794300336392015	-2.12266194226111	-0.562652256218273	-1.65315127483893	NA	-0.549816104654821	-1.50755046091871	-0.0699611559813532	NA	0.758033934619602	-0.194207343876216	1.19604522175502	-1.44904358883001	-1.78516252253629
