"A"	"B"
"s.1"	1	0
"s.2"	1	0
"s.4"	1	0
"s.5"	1	0
"s.7"	1	0
"s.8"	1	0
"s.9"	1	0
"s.10"	1	0
"s.11"	1	0
"s.12"	1	0
"s.13"	1	0
"s.16"	1	0
"s.18"	1	0
"s.19"	1	0
"s.20"	1	0
"s.21"	1	0
"s.22"	1	0
"s.23"	1	0
"s.26"	1	0
"s.27"	1	0
"s.28"	1	0
"s.29"	1	0
"s.30"	1	0
"s.31"	1	0
"s.32"	1	0
"s.36"	1	0
"s.37"	1	0
"s.39"	1	0
"s.40"	1	0
"s.41"	1	0
"s.42"	1	0
"s.44"	0	1
"s.45"	0	1
"s.46"	0	1
"s.49"	0	1
"s.50"	0	1
"s.52"	0	1
"s.56"	0	1
"s.57"	0	1
"s.58"	0	1
"s.61"	0	1
"s.62"	0	1
"s.63"	0	1
"s.64"	0	1
"s.65"	0	1
"s.66"	0	1
