"A"	"B"
"s.20"	1	0
"s.22"	1	0
"s.25"	1	0
"s.26"	1	0
"s.31"	1	0
"s.74"	1	0
"s.93"	1	0
"s.100"	1	0
"s.136"	1	0
"s.139"	1	0
"s.163"	1	0
"s.175"	1	0
"s.181"	1	0
"s.183"	1	0
"s.189"	1	0
"s.190"	1	0
"s.191"	1	0
"s.200"	1	0
"s.204"	1	0
"s.213"	1	0
"s.214"	1	0
"s.217"	1	0
"s.224"	1	0
"s.228"	1	0
"s.233"	1	0
"s.239"	1	0
"s.251"	1	0
"s.253"	1	0
"s.255"	1	0
"s.256"	1	0
"s.264"	1	0
"s.271"	1	0
"s.273"	1	0
"s.275"	1	0
"s.284"	1	0
"s.303"	1	0
"s.322"	0	1
"s.327"	0	1
"s.330"	0	1
"s.332"	0	1
"s.338"	0	1
"s.340"	0	1
"s.348"	0	1
"s.363"	0	1
"s.364"	0	1
"s.376"	0	1
"s.382"	0	1
"s.385"	0	1
"s.396"	0	1
"s.404"	0	1
"s.408"	0	1
"s.414"	0	1
"s.418"	0	1
"s.420"	0	1
"s.422"	0	1
"s.430"	0	1
"s.433"	0	1
"s.438"	0	1
"s.440"	0	1
"s.447"	0	1
"s.449"	0	1
"s.450"	0	1
"s.461"	0	1
"s.463"	0	1
"s.471"	0	1
"s.476"	0	1
"s.477"	0	1
"s.478"	0	1
"s.479"	0	1
"s.492"	0	1
"s.497"	0	1
"s.501"	0	1
"s.502"	0	1
"s.514"	0	1
"s.515"	0	1
"s.516"	0	1
"s.525"	0	1
"s.526"	0	1
"s.531"	0	1
"s.544"	0	1
"s.545"	0	1
"s.550"	0	1
"s.551"	0	1
"s.555"	0	1
"s.564"	0	1
"s.583"	0	1
"s.591"	0	1
"s.592"	0	1
"s.597"	0	1
"s.600"	0	1
