"s.20"	"s.22"	"s.25"	"s.26"	"s.31"	"s.74"	"s.93"	"s.100"	"s.136"	"s.139"	"s.163"	"s.175"	"s.181"	"s.183"	"s.189"	"s.190"	"s.191"	"s.200"	"s.204"	"s.213"	"s.214"	"s.217"	"s.224"	"s.228"	"s.233"	"s.239"	"s.251"	"s.253"	"s.255"	"s.256"	"s.264"	"s.271"	"s.273"	"s.275"	"s.284"	"s.303"	"s.322"	"s.327"	"s.330"	"s.332"	"s.338"	"s.340"	"s.348"	"s.363"	"s.364"	"s.376"	"s.382"	"s.385"	"s.396"	"s.404"	"s.408"	"s.414"	"s.418"	"s.420"	"s.422"	"s.430"	"s.433"	"s.438"	"s.440"	"s.447"	"s.449"	"s.450"	"s.461"	"s.463"	"s.471"	"s.476"	"s.477"	"s.478"	"s.479"	"s.492"	"s.497"	"s.501"	"s.502"	"s.514"	"s.515"	"s.516"	"s.525"	"s.526"	"s.531"	"s.544"	"s.545"	"s.550"	"s.551"	"s.555"	"s.564"	"s.583"	"s.591"	"s.592"	"s.597"	"s.600"
"prt1"	1.03961963616424	-1.35894287500349	NA	-0.468267711617807	-0.489820759610401	-0.115879864347972	-1.13336819021421	-0.239598968126305	NA	1.16064104620393	0.392241702630435	2.12236814394645	1.64162057719056	0.171258226770608	-1.25953348554995	0.917242775305109	0.77956936261299	1.69866703581666	0.945374216440841	-0.368396381182271	-1.14381779872955	-1.14772850870725	0.278017673954946	0.296446991511886	-2.26677321612954	-1.1871735676294	0.0937845089442419	0.39828657935887	0.272837381970852	-1.40243199341524	-2.32848948593995	-0.844573847297546	0.671865862256269	2.28376684360091	-0.125247919328118	-0.147113168986624	-1.3573602208351	-0.523928881590692	-1.2034249889048	-1.10008370870953	-1.04796753162693	-1.56817755411011	-0.597485096660045	-1.67643557168728	-1.48046777648791	-0.471445202251838	-2.26668132283413	0.116130644385351	-2.13064815179153	NA	-1.27475508369353	-2.85543129965009	-0.591257637286922	-1.15900501075617	-0.0035029844847505	-1.19294937918078	-1.08041800541159	-0.567624946624682	NA	NA	-0.480520067585829	-1.37820253264997	0.762892717013613	-2.12409151548093	-2.38387493214478	-0.254480610020171	0.916854382018554	-1.25393579977092	-0.425528688775615	-0.10695109496377	-0.0729014561364904	-1.59518344024044	1.80945996189331	0.284317182630874	-0.575865936695213	0.0682627714262921	-1.74434127838936	NA	0.07410600031819	-1.06858740549835	-0.798951836763298	-2.42630471579322	-2.25108277151116	1.61110949455912	-2.81996064663616	-0.419456896952516	-1.43706164467417	0.346212378764636	-1.57784893948613	-2.01236486963063
"prt2"	-1.63207216772384	2.43745513475056	-0.777086861472073	1.20469078541665	NA	-3.26143432778022	NA	-3.40545515667319	-1.36360264895587	-3.78206195075418	0.499563475412104	2.19981899339512	NA	-1.37008842557402	-2.83539274030159	-4.58975867951265	-3.21258121329832	0.760949848944315	0.936282725513766	-2.29367883596431	0.661888737540495	-0.432320381202917	0.402970163326015	0.0754020284980419	-0.090222283333688	-3.42544211891063	-1.88145842429643	-0.380802926501773	-1.02004082095186	NA	-0.156354990493172	2.57389709833595	-1.83679221612651	1.471778260767	-5.28617540088989	-0.856691785557303	NA	NA	-1.41774673680133	-0.213094275676583	-3.36314508836474	1.03694975305157	NA	-0.853528419369661	-3.76881046381086	-2.95355186940974	-0.186999143017439	NA	1.7012134307303	-1.37654165929575	-6.99274006598884	-3.94483286767789	-1.51597710654014	-0.164552607893015	-6.80235947680335	NA	0.450635816026839	0.562686060181076	0.79839775283317	0.234907025515158	-2.6418182548096	-1.59835091104289	0.076382260385029	NA	NA	NA	0.925927101560821	NA	1.34335578843996	-6.89847148196093	3.80500494476608	-0.733114329600609	-0.303049235419372	-2.30386172801822	-4.88422318444113	NA	1.36627272962352	NA	-3.62813597881263	-1.37276530124329	NA	-2.23992594481252	NA	NA	-0.383599703059841	-1.02426070971144	2.90568573110071	NA	NA	-1.80390510725784
"prt3"	2.36134984961461	NA	6.04744176149374	5.95521214972571	NA	2.65402349135041	4.82349957772744	NA	5.48008813680266	5.12732329220168	3.31180892831263	NA	4.52447881416036	4.11707818329604	6.65985103591967	2.69395062211887	5.08301390405627	1.28944584956581	2.56980799925548	3.60390233125703	0.772631820641556	2.19683671864427	2.61489764776188	NA	1.11232527776082	1.19770742822688	-0.0985810889436238	2.85986573844754	1.33581259074259	3.60487070441116	6.28096006536759	NA	NA	4.31810339873305	0.823054152918594	1.25799934320608	6.2250751422413	-1.50080774652839	NA	1.55416060315987	1.21461182095357	-0.177420891293132	0.324819921405435	NA	2.81250368472914	1.92165033647921	4.00886987363253	NA	4.16658099313408	2.80381642595266	-0.721946209720391	0.485819256111387	1.90191775966312	4.03528688337296	6.19648662379599	NA	2.39710655645542	2.40967043793413	1.87188926904787	3.2125659369099	-0.408472116333743	NA	3.02893211591336	0.431740453622228	2.12565528551256	-0.733046358701763	3.96924094070179	NA	3.1778722793604	4.89972154844259	0.282007626103185	1.17892258680772	0.911952798721289	NA	NA	3.39170344077751	0.87941938033849	NA	1.64565772659249	0.215830253160791	-0.152181194465143	NA	3.18487809298299	2.53141476188309	4.50513389587398	NA	2.41433232685292	3.37245750685656	4.86085549869747	1.68250227749024
"prt4"	4.18670616820623	8.50979028063256	6.5277734833863	4.26465546450706	6.93388057430405	3.41699200793124	7.59576350581893	5.39582588228378	0.102382788113448	8.28108213242169	9.02962230336913	6.53887132156982	1.50518040137202	3.35386412579323	3.99501641895708	NA	1.25719010372224	NA	6.665989659528	7.14337344542195	-3.15847069523148	NA	1.82901757594344	6.05271424069517	1.37596015664807	5.58335654469524	4.49994987555896	5.14263250858177	6.01267165759124	8.82932326473029	3.68331999615947	2.1516933383686	2.67897505785972	4.97072333237429	5.16735853541942	6.75028755883671	2.04273507331395	5.58512269925307	5.42666805042119	4.55392729843014	3.40268676032607	2.18123778286437	3.20063328355671	2.56244338750178	0.768174040771578	6.33919978950894	0.34163098918608	1.90861360511147	1.30404243455608	5.63614753334164	0.806328285524925	4.25909581625274	NA	5.0552068481659	0.841389097761503	4.78794075904034	4.69849731787375	3.0621640411595	5.69581007535276	NA	6.48860647423794	4.39416183598369	0.846904138657848	NA	2.24557092022631	1.08506683401805	4.34102198293788	4.77308671699006	9.08432350594658	7.65213371548615	6.27395813576089	6.26933342331346	6.7476300264184	NA	NA	NA	4.5827749263947	-0.683152760816649	2.16662611998846	7.53526594294527	9.19393718679597	2.6782360114298	1.65194656290257	NA	3.86124074755977	1.78799682513454	-0.095835176459564	NA	5.13700439165209	4.22953362753287
"prt5"	0.753271497875324	-1.72612865912303	NA	NA	1.14544663097347	0.866741746673707	-1.14673105041692	0.214791806133011	-2.24895375118898	2.31149559438319	0.529541298783473	NA	1.45156450001763	-1.05026617368692	-0.973927830639472	-2.01031728199566	0.131766192811927	-1.62958377703233	-0.0047368586164329	-0.0747374616311072	-1.08027356597231	-3.33235365534966	-0.337908498707897	NA	3.26433747702795	0.412333595605055	1.68176962890456	-0.219833175927077	1.53591247062752	0.687368997343348	-0.630042599874017	-0.762005125216374	0.763316041771693	-0.714999065852192	-2.16406870104391	0.791289863629537	-1.59523391625965	0.72904186191196	NA	-0.477177524771226	-0.484680423732751	NA	-1.13753758158512	-1.87385404206845	NA	NA	-0.565451223081552	-2.1809914429571	-1.36542539138056	-0.549051359330664	-0.334143233021946	0.987063207797156	-2.74600613463791	-0.189201106568365	NA	-0.000126389404778382	-2.81684166587134	-1.49725266856846	-1.84715774923936	-1.24450092376714	-1.45529640063659	NA	-1.1339901097429	0.265467953472462	-1.07843825130925	-3.23577383247469	-1.87210954301977	-0.449352712856143	-0.0466682879919561	-2.3968609718079	-2.03939925187113	NA	-2.57892822625035	-2.23176549645349	NA	NA	-0.271636627680017	-2.30777366263468	-0.00376160912652777	-0.232147828446037	0.862139455633629	-0.926344168506074	-1.30184710792273	-1.24060356263996	-0.130839190881168	0.323692225147309	-2.48266999961099	-1.62940639826879	-0.309122455059575	-2.00880716312599
"prt6"	0.318333986395313	2.39383605111697	-0.75994963468632	-0.11921870695812	-0.652973903150162	-1.08804662185318	NA	0.627783379812955	-0.811971996007383	NA	1.57213337697306	0.613712951958859	NA	1.26743087860399	-1.94289695930069	-0.416891803754579	NA	-1.84404013229031	-3.26367585533618	-0.348911866409636	-3.38289041021786	NA	NA	NA	-0.341650651609814	2.43701703316364	-1.52955697508172	NA	NA	-0.995535133596641	0.144308050087612	2.73497370757156	-0.876918344756134	-1.32507217617405	1.22856829530971	0.326734887769496	NA	NA	0.501089489325629	2.73333446646162	-0.586393635691285	0.0154709481213702	-2.40364813784489	-2.13680843563069	NA	-2.36488870180988	-1.67141347006719	-1.14468071160585	-1.44458658591976	-0.243488126683014	-3.65638877291969	NA	NA	2.17642408828006	NA	NA	-1.36120671645291	-0.768818837955943	1.03911223634242	2.98851179266299	1.42337194603362	-3.13480861567246	-1.27963091375906	-1.32398045395315	-3.07977761278477	NA	-0.966749272933622	-0.20692726327859	-1.42843486365817	-0.287563434240265	-1.93655068498758	0.566722479959089	-1.08963899047763	-1.54074262379407	NA	-4.49488860579787	0.72490153308318	NA	NA	-5.53872019598429	1.05662907188754	-1.68907246385607	2.34739512670702	NA	-5.97986884590572	NA	-0.35314519674689	-1.00287589693706	-2.85679470935484	-2.87820811631399
"prt7"	2.91409823319518	-1.17132441515398	-2.11674737330104	-0.821752783630454	0.275419582579046	0.298032247433082	2.0976980931203	4.31258983425154	-0.326349500437123	0.185202200571161	-1.12593111221392	0.0417805094314888	NA	-0.600440977513398	0.266253232905325	2.61720770372476	0.480093137360485	0.610391138708153	3.08385806396779	1.84918077341445	-1.08067542089386	1.42794236819921	2.72197935497698	1.30581995199568	3.02807045646831	-1.70900786669473	0.157951978952649	5.66580560564632	0.326582583265665	NA	2.21536220913984	3.73643790061947	1.25978621186795	-1.37719641974313	1.54031590999159	2.2202874453565	-0.791147607485707	-0.189735931456958	NA	-0.418377673064329	0.679279642369217	3.10597586605422	-0.367520992607979	4.31525687208587	1.05873576084926	2.7767063168069	0.547854808350062	1.50654930689314	-0.542215874690594	-2.48365069023331	1.93581928630339	1.7319814717099	0.766869559699852	2.63482033933361	3.58915208615208	-0.0157054740368103	-0.598263888483568	1.68849346767116	0.574832520746058	NA	1.55721697369466	-0.909692394230944	0.65750660239982	NA	-1.14044480446946	-0.0169616942961018	0.373439796216078	-0.329695669782987	0.0433888566889146	0.356955170930091	2.20840934039865	-0.143749474259874	-1.27216918624784	3.84269693788672	0.687143835193855	0.000247670478126627	-0.983826838845389	-2.78799860052485	-1.3207346933164	-2.33739073909363	3.26783173406687	-0.188757914945406	0.872849755480435	1.74331753500427	-0.848363311823761	-1.62647487528982	NA	0.134902492345817	NA	1.77673277158701
"prt8"	0.478279672993305	0.577837598632488	-0.358572198326089	NA	NA	-2.7945619944981	-0.84254782170989	-1.77516486269642	-0.0566492485461098	-1.83450683568395	1.60074294763975	NA	-0.129617584829733	-2.84913647630087	NA	0.0777649470405288	-1.59662937639746	-1.14500038622117	-1.49419613439185	-1.96585107504864	NA	-1.37402211860871	-1.15901831053748	-0.118957858370093	-3.54210144871548	2.95058133606782	-0.27830332761056	-1.10416140931477	0.539845291229986	-0.610649223812528	-0.419016385767454	0.0975047895196676	-1.41202291856044	-3.08119103017784	-1.50289946373354	-0.470824534137243	1.6234990639603	-2.98551161291659	NA	NA	-2.47902730005999	-1.90245580922686	-2.92189142513028	1.2117398357067	-1.67576139894788	-2.4457287182081	-2.1070656144342	-1.82411721353138	NA	-2.54387882816462	NA	NA	-3.84018667619165	-1.93423528179036	-2.00658586350552	-4.52092800725475	-2.06195824986247	-1.35786345779366	-2.25773108369259	NA	-1.30356295260916	NA	-2.76896560924513	-1.19723195241816	NA	-3.03309300481431	-3.22003515989856	-1.89207161361339	-1.50969543165912	-4.35728674064556	-2.20917311004807	-1.88748475902303	-3.43691595456404	-1.90280873733411	-1.59954869029543	-1.00778407068775	NA	-2.44538370793515	-1.35244691627801	NA	-1.38512365305466	NA	-3.2063192694386	-3.70530649048101	-4.47723854154522	NA	-1.9462437915426	-1.17630963709436	-1.63407586624811	NA
"prt9"	-2.38229019609311	-5.69057012772358	NA	NA	-5.44414071330783	-4.33900562060151	-4.37578267333375	-4.06133099882706	NA	NA	NA	-4.40773872666391	-4.27596210594514	-4.04300975711875	-6.07135022204353	-2.27535468854725	-5.79842008881416	-3.54181259740206	-2.40573400096872	NA	-2.58506509026268	-3.34329698972583	-3.03789972366596	-3.86325749354188	-3.74438837389953	-4.16832503819676	NA	NA	NA	-2.94163905092631	-6.4696472970432	NA	NA	-1.64040818038345	NA	NA	NA	-6.47225482485483	NA	-5.08505431576809	NA	NA	NA	NA	NA	NA	NA	NA	-6.6541112178197	-6.30113341307431	-4.0856581692518	NA	-3.53992483754783	-6.0538816953004	-4.2191830942241	NA	NA	-6.21394972798543	NA	NA	NA	-6.10107845855976	NA	NA	NA	NA	-5.19204708141511	-5.32892526385764	NA	NA	-5.90961037388618	-4.96162697968846	NA	NA	NA	NA	-5.14584468790879	NA	NA	NA	NA	-5.24631773665462	-4.41567711836565	NA	-5.00135862474857	-5.72070130935918	NA	-6.14822600601829	-6.80638591611073	-3.96380033884735
"prt10"	2.22998815573998	-0.371930120479514	-0.252602957639911	-2.07542445001837	NA	-1.99029436671924	0.558018309470884	-0.435678828266344	NA	-2.66547702167572	0.881793667939911	1.08359579518577	0.88185269959112	-1.29275068027898	-0.161088241493039	NA	-0.861145944068907	0.198297503081556	-0.537724923654814	-1.35203249179108	0.704253064493536	1.69202736159726	-0.31127707465647	NA	-0.422751211467253	1.50528757127902	NA	-0.0113452432617976	NA	-1.58752495584812	-2.21214029219065	1.84982222899178	-2.16763656110677	0.52101696321118	0.00044184360853021	0.354435753955815	-0.981392677732276	-1.11587530104466	-1.639404852447	-0.153888741798532	0.679124529377284	-0.832668997711208	-1.77865906727199	-1.33783226501689	-2.11350055981548	-0.287552631755835	-2.40119409405106	-1.1956443753023	-0.00457161018267099	-1.35301853231601	NA	-2.36575851642983	NA	-2.13814543602032	1.46761771393334	-1.5226658908979	-0.161799233864717	-2.1590768096021	-0.209025367089784	0.509086669500299	NA	-2.32073571871642	-0.299068921369724	-2.19963130446591	NA	-1.05895236557796	0.37543899465431	-0.849645042822332	-2.62550810039652	0.553067582043635	-1.09675615348905	-1.56727229987923	0.225088534887368	-1.8236732568234	-0.791344123882198	-0.566002444640067	-0.762884407556696	-0.141803445566254	-0.14586320170949	-1.6320174991623	-0.837231568118595	-1.83775739391412	-2.7959267127263	-1.61881571929083	-0.488029283309574	NA	-0.964806632999877	-2.57301543033598	NA	-0.10869962306575
