"A"	"B"
"s.3"	1	0
"s.4"	1	0
"s.17"	1	0
"s.21"	1	0
"s.32"	1	0
"s.36"	1	0
"s.44"	1	0
"s.45"	1	0
"s.48"	1	0
"s.53"	1	0
"s.59"	1	0
"s.72"	1	0
"s.77"	1	0
"s.81"	1	0
"s.116"	1	0
"s.118"	1	0
"s.122"	1	0
"s.159"	1	0
"s.167"	1	0
"s.192"	1	0
"s.206"	1	0
"s.232"	1	0
"s.259"	1	0
"s.267"	1	0
"s.273"	1	0
"s.277"	1	0
"s.290"	1	0
"s.309"	1	0
"s.332"	1	0
"s.344"	1	0
"s.347"	1	0
"s.373"	0	1
"s.380"	0	1
"s.385"	0	1
"s.388"	0	1
"s.395"	0	1
"s.398"	0	1
"s.402"	0	1
"s.410"	0	1
"s.412"	0	1
"s.413"	0	1
"s.416"	0	1
"s.417"	0	1
"s.418"	0	1
"s.426"	0	1
"s.434"	0	1
"s.453"	0	1
"s.458"	0	1
"s.459"	0	1
"s.464"	0	1
"s.468"	0	1
"s.470"	0	1
"s.471"	0	1
"s.477"	0	1
"s.479"	0	1
"s.482"	0	1
"s.485"	0	1
"s.494"	0	1
"s.498"	0	1
"s.501"	0	1
"s.505"	0	1
"s.512"	0	1
"s.514"	0	1
"s.515"	0	1
"s.520"	0	1
"s.526"	0	1
"s.533"	0	1
"s.537"	0	1
"s.543"	0	1
"s.550"	0	1
"s.553"	0	1
"s.563"	0	1
"s.570"	0	1
"s.579"	0	1
"s.581"	0	1
"s.584"	0	1
"s.590"	0	1
"s.591"	0	1
"s.598"	0	1
"s.605"	0	1
"s.614"	0	1
"s.621"	0	1
"s.626"	0	1
"s.627"	0	1
"s.628"	0	1
"s.630"	0	1
"s.631"	0	1
"s.632"	0	1
"s.635"	0	1
"s.638"	0	1
"s.641"	0	1
"s.642"	0	1
"s.655"	0	1
"s.657"	0	1
