"s.3"	"s.4"	"s.17"	"s.21"	"s.32"	"s.36"	"s.44"	"s.45"	"s.48"	"s.53"	"s.59"	"s.72"	"s.77"	"s.81"	"s.116"	"s.118"	"s.122"	"s.159"	"s.167"	"s.192"	"s.206"	"s.232"	"s.259"	"s.267"	"s.273"	"s.277"	"s.290"	"s.309"	"s.332"	"s.344"	"s.347"	"s.373"	"s.380"	"s.385"	"s.388"	"s.395"	"s.398"	"s.402"	"s.410"	"s.412"	"s.413"	"s.416"	"s.417"	"s.418"	"s.426"	"s.434"	"s.453"	"s.458"	"s.459"	"s.464"	"s.468"	"s.470"	"s.471"	"s.477"	"s.479"	"s.482"	"s.485"	"s.494"	"s.498"	"s.501"	"s.505"	"s.512"	"s.514"	"s.515"	"s.520"	"s.526"	"s.533"	"s.537"	"s.543"	"s.550"	"s.553"	"s.563"	"s.570"	"s.579"	"s.581"	"s.584"	"s.590"	"s.591"	"s.598"	"s.605"	"s.614"	"s.621"	"s.626"	"s.627"	"s.628"	"s.630"	"s.631"	"s.632"	"s.635"	"s.638"	"s.641"	"s.642"	"s.655"	"s.657"
"prt1"	-2.22587436268918	2.9637388033954	-2.69293035368674	0.120702036357015	2.52427074291823	0.739410698485999	NA	2.17523773119646	-0.88392562314471	7.81294291024592	2.33650447022989	NA	7.56929187915567	0.299863785696046	2.87885542944714	5.21825026058794	NA	-1.02931109174544	NA	-3.30324694184188	NA	2.69998684864147	-1.84779227095314	0.965244308679391	-0.198672412176596	1.04548144461451	2.84426678879763	-1.02791805435475	3.6370741647756	2.37413213886202	1.39366136154282	1.11675592441444	0.268528439530355	-1.34413375163031	NA	-4.49540141755203	1.68272372080725	-6.39055943062359	-3.15024941572049	NA	0.937889021660785	-0.786447096611481	-1.03713080276446	1.37180129704704	1.59788518172457	3.13273451485421	NA	NA	-0.788532891816948	-1.15049422443173	5.73997442530546	-4.92758789044383	1.19989990172249	1.69499121257082	-3.70092532190815	2.95931558792482	-0.2133971321858	-2.3561491551148	1.01430425985909	-6.39042236928602	4.96463258550026	2.41951230018122	-1.77816797712644	-0.356795288899119	2.43891891046827	NA	1.64802198316451	-1.2114168215891	2.16074740532874	-4.21616454686557	NA	-0.0780182586494384	1.38501013228579	-3.57919423051873	-0.672693109697711	NA	NA	NA	-4.61027448488904	-1.68961706031273	2.35042787391294	2.80451428887997	-1.2699517945821	1.23878933628654	0.686178927798298	NA	-0.889007788237683	NA	NA	2.79920324840393	-1.16993400855806	6.19854558363117	0.967676583835191	-1.21318478286424
"prt2"	0.454953982796253	0.412805417821496	-0.588111993727215	1.98954433033926	0.456999206351927	-0.179637485873994	0.664410823137065	-0.215303446045696	NA	0.802919049526471	-1.15795277819509	0.675971315868745	1.57175937942566	NA	1.34602281924184	-0.422748545086946	0.952519861724401	1.28213121456093	-0.608519692401555	1.93897676429554	NA	2.62121104754949	1.45458098827807	1.36467524675401	-0.661580882357106	1.05953714326794	0.674618359324964	2.24184979116697	0.629115974380269	-0.137737958112899	0.395121487657536	-1.04750193924217	-1.38348967239738	-0.475943099112412	-0.402791675811008	-0.350902290505935	NA	-1.09009448970607	-0.260197151683608	-1.67038340056797	0.0773035196676293	0.276429880849193	-2.21770576224466	-0.0494221078945399	-0.12554613398172	-0.205411267272838	-0.358172059121498	-1.82809319033549	-1.8770535777498	-1.36365847174067	-2.13800891636356	-1.80438953755872	0.750721194579013	2.59891266784694	-0.776458408096181	1.64975743695994	-2.06677959692231	-0.898491090064403	-1.91101121548753	-1.59286767008936	-2.2996028267158	-1.60666662717735	1.50212298409135	-1.98131822287723	-0.495329559939445	-1.49807882166728	-0.970954183206818	0.0551708387849502	-2.18751575713293	-0.804376997748593	0.111689532995141	-1.67647934880693	0.0920732865914687	-0.831244705438761	-0.54847909286653	-2.36809255596698	-1.18578337874587	NA	NA	1.24405154244863	-0.162273474326047	NA	0.776250552436073	-0.817244837299705	-2.42250555291836	0.153940628399285	-0.704861870564641	0.0651822149873728	-1.42889026598726	-0.925228778851946	2.24296241412373	-1.97061508343158	-1.55388255731015	-2.3501382366028
"prt3"	1.89452729441394	-0.874978094117314	-0.706473693359605	NA	-0.0790353089024036	0.594113726673452	NA	-0.193150532773552	1.18683237699191	0.000154976979089338	NA	0.0556649617188001	1.79089212153364	1.98526739900565	-0.761046218750246	-0.821040724488684	-0.241826476509066	-1.71072433608385	-0.456263629627043	0.368441259952754	1.14894067510704	0.895808157822056	0.0438217904051971	1.24680271702322	NA	-0.298195586488948	-0.329544887803269	0.381420679516331	-0.0685533628181918	NA	0.0293756080293218	-1.91755708221502	NA	-0.994819385537618	-1.67149354260283	NA	-1.51719341365032	-1.86791212065294	-0.486909450308256	-1.26578302695007	-2.5544007716884	-0.75312367184897	-0.789255767803643	-0.258955139805111	-2.03392270486559	-0.260458183388398	-0.436970130948371	-0.55224275554255	-0.144542321605561	-2.16071076751395	NA	-1.0522319056808	-2.37664185046043	-0.740347941262119	-2.60006722272297	NA	-0.32800787686791	-1.67159306193438	-1.52205032397901	-0.907035210494546	-1.19245663256355	-0.892268957300348	0.138210243947273	-0.453952103142328	-2.29368395397085	-1.75659058600242	-0.987708304207005	-1.13906636112734	-2.46801296098111	NA	-1.98985253532003	-2.10397814482031	0.0138856409085952	-2.13945500684429	-1.77137556391276	-1.45131071880195	-1.58739840243117	0.411694148335087	-1.84488903467358	-1.41946450360955	0.170910872279322	0.347869548552044	-0.986667874301922	NA	-1.94414099973492	-1.24942927321213	-0.576240074560575	-1.47127535633046	-2.47744250067389	NA	-0.963607576444894	0.0496313278257691	NA	-0.972169421600731
"prt4"	3.98362707965464	2.5914616861993	1.97314423427422	2.04449312565769	2.79232349255239	2.87537824791692	2.35228942884855	2.28155964014947	1.53651827701547	3.68673842712875	6.01463156793115	5.18470515472021	4.85153068725548	1.57152864122417	NA	3.33863846802876	1.25871377381032	3.23809907766484	4.31294239394367	0.465960295473624	0.0957252377003302	2.20700233562098	1.67237659406436	4.78397114529029	-0.694127818446744	NA	4.02318281793312	2.71960220753649	5.74003414874611	NA	5.37794786488066	3.61437217041361	1.82979244010282	6.81672081219793	3.40278748052325	-0.350381916620681	7.01415883792664	2.30082795041975	1.36188046021674	2.72211439662238	2.29794064374984	0.257275466881471	5.38260221100267	1.05993880291163	1.42230551296953	1.76314656415743	3.14270594802963	1.42624938277901	-0.202140422111954	1.49422863068558	-0.799067904993256	NA	4.75318664616814	1.89006402605558	3.99171100432347	3.08068136027881	4.36040698458879	NA	NA	NA	NA	2.78240503851949	3.28931865317394	1.08388770488573	2.59342261321973	3.32828530095823	2.71893709435495	0.904238985873621	0.974250761047192	3.6541040977947	6.33067521916545	4.18944349646618	NA	0.826963403077038	NA	0.262883612094565	1.58258712398025	1.40868727819122	3.7736597256476	0.224789901559053	3.44141436243446	3.77769455713455	2.7617720606392	3.04518824761795	2.98693948239171	NA	4.54093822686406	2.33733278362731	1.31391148203108	2.28591540259564	2.84153240228555	3.79198126042704	NA	2.4417020743301
"prt5"	-0.345628613718199	1.50000075829011	0.729649399320268	2.38177725255489	1.55344848059268	-0.723647579794557	0.273655496750122	-0.666051672709324	-0.494077262994331	2.06075418794574	0.80899545128041	1.44671366073326	-0.805555774849666	0.175058285678242	-0.149729336952084	-1.42999754882599	1.3596504769982	-0.376678967366433	0.448039827799696	1.29716444294688	0.315932574722061	1.88232950654734	0.870283507012735	0.00855733103285294	-1.92073543432214	-0.490072300283611	1.42464324865167	NA	-0.530469660193219	1.51359597337996	0.0646542801526555	NA	1.20461821652691	-1.55291971250561	-0.634668292197546	-0.423887889859931	-0.12765166363607	1.45109074388702	0.0784465198359755	-0.781834258036591	-0.0514210985354797	-2.27591680638647	-0.991327855993151	NA	-1.72657419828415	-0.566040945687145	-1.14083430639363	-1.64007485608703	-2.06670203301162	-1.50430618949551	-2.3705628197209	-0.328221504507019	-0.888167494912173	-1.91736424453216	-1.09698880259244	-2.71896982247748	-0.304955539335395	-1.19271571781861	-1.68896225247309	NA	-2.53461682999814	1.63945310850472	-0.247684736900354	-0.405455836656657	-2.64340829338	-0.398654062691356	0.619516707457558	-0.514246421511399	0.170481873225905	-1.44783344868731	-0.328519383942759	NA	-1.43673921393949	0.181062270414889	0.184698825182772	-0.163459517524251	-1.23071355869975	-0.746684103727659	-0.654607470815504	-0.889766814620457	-0.472589690663632	NA	-0.949646039897276	-0.300717004575405	-1.96628185509186	-1.17685089514083	0.0573660492016752	-0.879916050368612	-1.92231318737608	-0.58641690059775	-0.395546809947806	-1.79389905253947	-1.16709801789941	-1.3560487016817
"prt6"	3.13949084055449	-1.42953356558223	0.77220315077079	-1.73041195897089	0.87558786610117	-2.46250191625291	-1.20024963679254	0.101394510635908	-0.91236134852713	NA	1.20116171912518	0.268960738618756	-0.0963246399258569	0.822562495584213	0.686236658613299	1.26206300307066	-1.54134120411911	2.87142038104997	1.61911497104289	2.08028769321243	2.09568153160349	0.438033669136171	1.12351362095036	0.979789236689212	1.99134731352939	-0.19367549002729	NA	0.0915082617235954	-1.67724050099263	2.37710604630655	NA	NA	-0.128109239655188	-0.71773194217901	NA	-1.69225189607397	-2.08740607307599	NA	NA	-0.603223440541235	NA	0.759655678121123	NA	1.23542840989606	NA	1.09471528953491	NA	0.451031042979442	-0.436337642248246	1.36560099933481	0.734576274221461	-0.371758498201952	NA	-3.47854005364727	-0.0636052771482231	-0.171873541778073	-1.92622186015466	-1.76865771273429	0.656794480512971	1.20379983771137	NA	2.57995410847292	-1.30266114177521	NA	NA	-1.39494246085458	1.22570469750309	-1.17050470005141	NA	0.87391211889329	-4.49188808657353	NA	-0.403325592840848	3.80071970787177	-2.14855097511798	1.23924517492843	1.30707375293968	0.418428387655606	4.26093000257052	NA	-1.18776331242947	NA	-1.82669833445091	-1.57205954969251	-0.926847707695529	-0.753276868948917	1.01347345890311	-1.54601364471889	0.538005259076503	-0.250355108231769	-1.82047415855372	-2.06584679765975	0.404419709717828	1.83096586858806
"prt7"	0.337456995631553	3.80422125784078	2.48663517668152	1.99764375238892	1.05172905213701	1.69881886755801	3.68009427249104	2.05516818574242	5.1503342134145	NA	2.3831759708576	0.553193683220495	0.490438786993829	2.3368954905096	NA	0.00484305779594672	-0.627045293407528	3.37485418575814	2.64383113965236	3.46807022329723	1.72961143139052	2.43106002186317	-1.02861149318425	1.66301352027121	NA	2.36631761264095	2.07470655646896	-1.28551377489434	4.46538399092823	3.36707859814819	-0.26026419569858	4.52954697525753	3.4558636396071	3.91069472114922	1.13164374297558	2.42937516437195	3.17937404380124	NA	0.700552937715057	2.03041186288093	5.53152897153745	NA	4.22339751060242	0.269796046583084	1.39905580958136	2.71720065847036	NA	NA	0.325961459260515	0.69480898868543	NA	3.93230172577953	2.72882134184111	3.80165310517122	NA	-1.0241761678483	0.0378259240404699	2.3745391721449	3.86851857044767	1.63666161421265	4.20624841719372	0.589187787475436	3.03365054646514	0.298087342173247	5.24590267577238	-2.40428784781453	-0.216842839210543	3.50432830741751	2.17966889582493	0.0868560861677408	1.3481165691422	0.233356003122417	2.28414414341605	0.911353115878956	1.62775484854676	3.2348282443897	3.16365008478338	2.36692107621323	3.40222235141162	1.18308007542192	1.43360990474141	1.59789683355904	2.79757810466084	-1.94831859539955	0.338141637114866	0.70861639721906	0.990574966689786	3.04870224087836	1.45388763874832	2.66391038619983	2.3561104137462	0.699382240612721	6.48909945165519	3.37804114267956
"prt8"	2.29393632778198	4.6342206650057	2.42905061531282	0.140618547042363	-1.29097955829003	2.3870481225828	NA	1.08688776751706	0.328715717042655	NA	0.489784239113178	1.84599980403467	2.74457070270206	1.22562415366672	-0.142740430364406	2.57049801386953	NA	-0.26042660943267	-0.557319611504565	2.6398212807053	1.94651051664913	NA	NA	-2.78683625157819	NA	2.13676033509845	4.53578017360789	NA	1.14027612823802	-0.874554630404151	1.36476452548624	-2.10155101747073	-2.30020625451686	2.06704986662511	NA	1.89655084988321	5.88937827838785	0.229009571765371	-3.91072099080372	NA	NA	-1.1484075411417	-0.69316312856765	2.20259044133565	-3.32773323128585	0.189909421903982	-1.61169730322152	1.92621842995422	2.29493491901878	4.47269457135979	3.60820228378378	-1.08046063673434	0.949923129238542	2.50117468763322	-3.29859717246379	1.70523400438275	-2.45459790815331	1.48671600395102	-3.88065616021564	-0.849749590759022	1.38387293722098	NA	-0.381096392580586	-1.03939803591814	1.53063426961626	2.50697096185674	NA	-0.543193629012053	-0.838724655325028	3.60247840706509	-0.62343052180452	0.221707843286327	NA	0.891598964735417	-0.955138312995474	NA	1.63866349305582	0.116353731224025	0.604327666500944	NA	-3.80422939712231	0.494012454364505	1.1208846488515	-0.934579591790389	-4.13972207078257	-0.234038685874345	2.41957079204168	-1.93515815055057	-1.10307749742633	3.63528682670237	2.41317704395045	1.33366658441996	4.65830845191986	2.25306276256171
"prt9"	NA	NA	-2.19317262333949	-1.02518799586443	-1.13356027300209	-4.24401877324558	-0.153265461051643	-2.2295965720987	NA	-2.33861152922133	-4.07173144982849	-3.04772504313007	-3.02620565937793	-1.13252206120516	-3.20922267378498	-3.11613371560022	-1.7597160542402	-2.05475392586397	NA	-3.02430473668809	-1.66702504456969	-0.9650379232532	-1.46206625403922	NA	-1.84480343067581	-1.28191682081417	0.562092405734125	NA	-0.5561499343006	NA	-1.173095841362	-3.09703978641342	-1.79319191131557	NA	NA	-2.15593795902981	NA	NA	-2.17802320250883	-2.97179805808309	-1.99068998874903	-2.36757485479634	-1.44926468501944	-0.953013693259568	NA	-2.2375744858849	NA	-2.78629484275583	NA	NA	NA	NA	NA	-1.40210599667132	-1.77866298793701	NA	NA	NA	-3.17550372680249	NA	NA	-2.08937872632343	-2.24690512673661	-1.82923609647234	-4.66354712284364	-0.601758524675306	NA	NA	-2.17140585329019	-3.72938214933217	-3.51954999417621	-2.57795715726365	-3.35093076316408	NA	-1.63728131480657	NA	NA	NA	-2.25145994899881	NA	-3.85320745295037	-0.734192225137562	NA	-2.45480679101217	NA	NA	NA	-1.83191934215573	NA	NA	NA	-3.09129651659776	-2.65427549764519	NA
"prt10"	NA	1.6850186381508	2.30619146007735	4.25026677893818	4.00849701065122	7.92547050260415	3.87548670035326	5.46519464582308	4.6635741273799	5.45532858729726	2.4905860030595	2.01258626803125	0.0126953390298978	4.67683052387255	5.00194459267262	2.99588202248439	3.5937547211439	5.44658293479425	7.63129776968138	4.75422816009612	5.88296802311073	3.35252544376453	NA	3.43580261536939	3.42600594314663	4.11867699319482	2.77903035054947	4.35219454018951	3.12432105195468	4.33208478501493	4.09885581313449	1.41018256058841	1.73380600480836	2.70788342685783	0.286130747493175	NA	1.91912502608965	3.06293653781843	4.06971633203952	3.15603635738565	1.92506602573461	2.87201220658696	NA	4.25385608958724	NA	6.38889370227584	2.38985495944509	NA	2.87882966175583	4.87806836778753	3.91447995597403	4.27032507961794	2.66874608663444	NA	2.03352175354064	0.961850779106965	3.7115677919631	0.507889772601292	3.64774938935102	4.92246875169295	2.2372054013376	5.80020077854063	6.3839126824899	2.6321197681467	4.97832655165041	1.79913093219862	3.18969810401099	2.37918421146983	1.9543858019008	4.31920637211352	5.19751280568352	2.23453330717072	3.00695703428748	2.98075964384396	6.09042114148185	0.656585199480881	2.85436193021228	4.22455599016909	1.98230660372764	-0.339842651145633	1.89846246799527	3.40043923458316	2.31562374542499	4.97532752725804	3.18059196517463	2.22936005361503	NA	2.46672769941963	3.25753031196717	4.08453636212439	1.38018486502801	NA	3.33397766768719	3.72579832033901
