"A"	"B"
"s.12"	1	0
"s.16"	1	0
"s.22"	1	0
"s.39"	1	0
"s.41"	1	0
"s.46"	1	0
"s.58"	1	0
"s.70"	1	0
"s.78"	1	0
"s.82"	1	0
"s.83"	1	0
"s.92"	1	0
"s.111"	1	0
"s.112"	1	0
"s.125"	1	0
"s.127"	1	0
"s.145"	1	0
"s.146"	1	0
"s.148"	1	0
"s.177"	1	0
"s.178"	1	0
"s.183"	1	0
"s.189"	1	0
"s.194"	1	0
"s.215"	1	0
"s.224"	1	0
"s.235"	1	0
"s.236"	1	0
"s.246"	1	0
"s.255"	1	0
"s.258"	1	0
"s.288"	1	0
"s.291"	1	0
"s.294"	1	0
"s.303"	1	0
"s.327"	1	0
"s.328"	1	0
"s.336"	1	0
"s.341"	1	0
"s.349"	1	0
"s.359"	1	0
"s.363"	1	0
"s.391"	1	0
"s.403"	1	0
"s.410"	1	0
"s.411"	1	0
"s.415"	1	0
"s.417"	1	0
"s.418"	1	0
"s.427"	1	0
"s.429"	1	0
"s.431"	1	0
"s.433"	1	0
"s.435"	1	0
"s.442"	1	0
"s.443"	1	0
"s.457"	1	0
"s.467"	1	0
"s.471"	1	0
"s.476"	1	0
"s.485"	1	0
"s.491"	1	0
"s.509"	1	0
"s.523"	1	0
"s.529"	1	0
"s.535"	1	0
"s.551"	1	0
"s.575"	1	0
"s.581"	1	0
"s.583"	1	0
"s.600"	1	0
"s.612"	1	0
"s.616"	1	0
"s.627"	1	0
"s.632"	1	0
"s.649"	1	0
"s.653"	1	0
"s.656"	1	0
"s.668"	1	0
"s.687"	1	0
"s.688"	1	0
"s.691"	1	0
"s.706"	1	0
"s.725"	1	0
"s.735"	1	0
"s.747"	1	0
"s.762"	1	0
"s.768"	1	0
"s.769"	1	0
"s.776"	1	0
"s.792"	1	0
"s.800"	1	0
"s.809"	1	0
"s.823"	1	0
"s.833"	1	0
"s.837"	1	0
"s.859"	1	0
"s.898"	1	0
"s.899"	1	0
"s.910"	1	0
"s.940"	1	0
"s.965"	1	0
"s.974"	1	0
"s.979"	1	0
"s.984"	1	0
"s.994"	1	0
"s.996"	1	0
"s.999"	1	0
"s.1025"	1	0
"s.1028"	1	0
"s.1031"	1	0
"s.1035"	1	0
"s.1049"	1	0
"s.1073"	1	0
"s.1081"	1	0
"s.1102"	1	0
"s.1113"	1	0
"s.1114"	1	0
"s.1122"	1	0
"s.1123"	1	0
"s.1138"	1	0
"s.1156"	1	0
"s.1182"	1	0
"s.1183"	1	0
"s.1201"	1	0
"s.1205"	1	0
"s.1215"	1	0
"s.1220"	1	0
"s.1225"	1	0
"s.1230"	1	0
