Dataset,Method,Mean difference,Maximal difference,FP,FN,Jaccard similarity coefficient
Balanced 1X,FedProt,8.93E-16 ± 1.19E-16,1.44E-14 ± 5.58E-15,0.0 ± 0.0,0.0 ± 0.0,1.00 ± 0.0
Balanced 1X,Fisher,0.05 ± 0.00,1.52 ± 0.38,0.20 ± 0.42,6.90 ± 4.48,0.17 ± 0.21
Balanced 1X,Stouffer,0.06 ± 0.01,1.57 ± 0.33,0.0 ± 0.0,7.10 ± 4.46,0.16 ± 0.18
Balanced 1X,REM,0.04 ± 0.00,1.82 ± 0.54,3.30 ± 1.64,1.80 ± 1.48,0.55 ± 0.17
Balanced 1X,RankProd,0.67 ± 0.01,6.68 ± 1.29,237.00 ± 17.20,0.0 ± 0.0,0.04 ± 0.02
Balanced 10X,FedProt,3.49E-15 ± 2.31E-16,2.08E-13 ± 7.19E-14,0.0 ± 0.0,0.0 ± 0.0,1.00 ± 0.0
Balanced 10X,Fisher,0.13 ± 0.01,13.80 ± 4.17,1.30 ± 0.95,1.50 ± 1.08,0.94 ± 0.03
Balanced 10X,Stouffer,0.14 ± 0.01,10.30 ± 3.02,1.30 ± 0.95,1.70 ± 1.16,0.93 ± 0.03
Balanced 10X,REM,0.16 ± 0.01,20.50 ± 3.37,3.70 ± 1.95,5.00 ± 1.89,0.81 ± 0.05
Balanced 10X,RankProd,0.81 ± 0.02,33.20 ± 5.88,5.00 ± 2.21,0.50 ± 0.53,0.88 ± 0.04
Balanced 100X,FedProt,1.77E-14 ± 8.88E-16,1.36E-12 ± 2.75E-13,0.0 ± 0.0,0.0 ± 0.0,1.00 ± 0.0
Balanced 100X,Fisher,0.55 ± 0.06,153.00 ± 38.30,1.80 ± 1.69,0.50 ± 0.85,0.92 ± 0.07
Balanced 100X,Stouffer,0.47 ± 0.04,116.00 ± 27.90,1.80 ± 1.69,0.50 ± 0.85,0.92 ± 0.07
Balanced 100X,REM,1.39 ± 0.13,206.00 ± 26.10,3.20 ± 2.15,1.90 ± 1.37,0.82 ± 0.06
Balanced 100X,RankProd,4.92 ± 0.19,294.00 ± 4.44,1.90 ± 1.79,0.50 ± 0.85,0.92 ± 0.07
Strong Imbalanced 1X,FedProt,1.61E-15 ± 2.08E-16,2.26E-14 ± 5.88E-15,0.0 ± 0.0,0.0 ± 0.0,1.00 ± 0.0
Strong Imbalanced 1X,Fisher,0.05 ± 0.00,1.56 ± 0.32,0.0 ± 0.0,9.30 ± 4.55,0.04 ± 0.05
Strong Imbalanced 1X,Stouffer,0.06 ± 0.00,2.04 ± 0.52,0.0 ± 0.0,9.70 ± 4.81,0.01 ± 0.02
Strong Imbalanced 1X,REM,0.05 ± 0.00,2.38 ± 0.77,2.60 ± 1.58,4.80 ± 4.64,0.41 ± 0.18
Strong Imbalanced 1X,RankProd,0.66 ± 0.01,6.86 ± 1.21,269.00 ± 9.96,0.70 ± 0.68,0.03 ± 0.02
Strong Imbalanced 10X,FedProt,1.48E-14 ± 1.78E-15,5.46E-13 ± 1.07E-13,0.0 ± 0.0,0.0 ± 0.0,1.00 ± 0.0
Strong Imbalanced 10X,Fisher,0.15 ± 0.01,14.40 ± 4.70,20.50 ± 4.28,16.20 ± 4.24,0.43 ± 0.04
Strong Imbalanced 10X,Stouffer,0.32 ± 0.01,17.90 ± 2.47,18.60 ± 4.06,17.00 ± 4.67,0.43 ± 0.05
Strong Imbalanced 10X,REM,0.24 ± 0.01,30.50 ± 4.47,3.20 ± 1.23,7.50 ± 3.24,0.78 ± 0.06
Strong Imbalanced 10X,RankProd,0.95 ± 0.03,38.20 ± 3.93,71.10 ± 13.50,15.90 ± 4.41,0.25 ± 0.02
Strong Imbalanced 100X,FedProt,7.90E-14 ± 5.69E-15,5.99E-12 ± 7.93E-13,0.0 ± 0.0,0.0 ± 0.0,1.00 ± 0.0
Strong Imbalanced 100X,Fisher,0.69 ± 0.08,231.00 ± 42.10,16.50 ± 3.63,9.40 ± 3.60,0.40 ± 0.08
Strong Imbalanced 100X,Stouffer,1.86 ± 0.06,112.00 ± 14.40,16.50 ± 3.63,9.40 ± 3.60,0.40 ± 0.08
Strong Imbalanced 100X,REM,2.62 ± 0.09,252.00 ± 17.90,5.10 ± 2.28,4.30 ± 1.83,0.70 ± 0.06
Strong Imbalanced 100X,RankProd,5.80 ± 0.15,296.00 ± 0.17,17.20 ± 3.29,9.40 ± 3.60,0.40 ± 0.08
