Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	sca.adj.pval	sca.P.Value
prt186	-1.0889474786479	-1.24025662850251	-0.93763832879329	3.54112800756068	-14.1372433742123	7.86196036580993e-39	4.71717621948596e-35	77.2790217031786	4.71717621948596e-35	7.86196036580993e-39
prt89	0.953341251837085	0.815671718483724	1.09101078519045	3.31518322794309	13.6033652949736	2.18697796431983e-36	6.56093389295948e-33	71.7460657028295	6.56093389295948e-33	2.18697796431983e-36
prt64	1.21181891057215	1.03621411231535	1.38742370882896	2.47775303761455	13.5560594259298	3.39417965313433e-36	6.78835930626866e-33	71.3017264320337	6.78835930626866e-33	3.39417965313433e-36
prt81	1.09868561716946	0.933511234668114	1.2638599996708	2.78654130783741	13.0664427197096	4.42027167140428e-34	6.63040750710642e-31	66.513093035596	6.63040750710642e-31	4.42027167140428e-34
prt198	-1.21704094632866	-1.40602518748522	-1.0280567051721	4.26397626882797	-12.651219910277	3.37033911393096e-32	4.04440693671716e-29	62.253319297822	4.04440693671716e-29	3.37033911393096e-32
prt16	0.940208655004902	0.79176334601355	1.08865396399625	-0.947696756192702	12.4453589002575	5.40791284105158e-31	5.40791284105158e-28	59.4213120420688	5.40791284105158e-28	5.40791284105158e-31
prt114	-0.983277804144402	-1.14377790303065	-0.822777705258156	1.79784391959756	-12.0341374087136	9.62312733827887e-30	8.24839486138188e-27	56.708635810812	8.24839486138188e-27	9.62312733827887e-30
prt101	-1.09266531294606	-1.27364824477997	-0.911682381112139	2.48539220405154	-11.8599675227047	5.81709742984244e-29	4.36282307238183e-26	54.9345927894778	4.36282307238183e-26	5.81709742984244e-29
prt125	-1.01713374023805	-1.19247968310231	-0.841787797373782	-0.402090522431681	-11.3955461784155	5.00039670151772e-27	3.33359780101181e-24	50.558511827071	3.33359780101181e-24	5.00039670151772e-27
prt120	-1.16339669136119	-1.36632860442502	-0.960464778297363	0.602106614564486	-11.2625329682345	1.7508249205358e-26	1.05049495232148e-23	49.3301857257643	1.05049495232148e-23	1.7508249205358e-26
prt108	-1.09265648258944	-1.28878671094438	-0.896526254234508	1.05766581960084	-10.9439241732587	2.74831977428316e-25	1.49908351324536e-22	46.6304015390622	1.49908351324536e-22	2.74831977428316e-25
