"A"	"B"
"s.1"	1	0
"s.4"	1	0
"s.5"	1	0
"s.6"	1	0
"s.7"	1	0
"s.9"	1	0
"s.10"	1	0
"s.11"	1	0
"s.12"	1	0
"s.13"	1	0
"s.14"	1	0
"s.15"	1	0
"s.16"	1	0
"s.17"	1	0
"s.18"	1	0
"s.19"	1	0
"s.20"	1	0
"s.21"	1	0
"s.22"	1	0
"s.23"	1	0
"s.24"	1	0
"s.25"	1	0
"s.26"	1	0
"s.27"	1	0
"s.28"	1	0
"s.29"	1	0
"s.30"	1	0
"s.32"	1	0
"s.33"	1	0
"s.34"	1	0
"s.36"	1	0
"s.37"	1	0
"s.38"	1	0
"s.39"	1	0
"s.40"	1	0
"s.41"	1	0
"s.42"	1	0
"s.44"	1	0
"s.45"	1	0
"s.46"	1	0
"s.47"	1	0
"s.48"	1	0
"s.49"	1	0
"s.50"	1	0
"s.51"	1	0
"s.53"	1	0
"s.54"	1	0
"s.55"	1	0
"s.56"	1	0
"s.58"	1	0
"s.59"	1	0
"s.60"	1	0
"s.62"	1	0
"s.63"	1	0
"s.64"	1	0
"s.65"	1	0
"s.67"	1	0
"s.69"	1	0
"s.73"	1	0
"s.74"	1	0
"s.75"	1	0
"s.76"	1	0
"s.77"	1	0
"s.78"	1	0
"s.80"	1	0
"s.81"	1	0
"s.82"	1	0
"s.84"	1	0
"s.85"	1	0
"s.86"	1	0
"s.87"	1	0
"s.88"	1	0
"s.89"	1	0
"s.90"	1	0
"s.91"	1	0
"s.92"	1	0
"s.93"	1	0
"s.94"	1	0
"s.95"	1	0
"s.96"	1	0
"s.97"	1	0
"s.98"	1	0
"s.99"	1	0
"s.100"	1	0
"s.101"	1	0
"s.102"	1	0
"s.104"	1	0
"s.105"	1	0
"s.107"	1	0
"s.108"	1	0
"s.109"	1	0
"s.110"	1	0
"s.111"	1	0
"s.112"	1	0
"s.113"	1	0
"s.114"	1	0
"s.115"	1	0
"s.117"	1	0
"s.118"	1	0
"s.119"	1	0
"s.120"	1	0
"s.121"	1	0
"s.122"	1	0
"s.123"	1	0
"s.124"	1	0
"s.125"	1	0
"s.126"	1	0
"s.127"	1	0
"s.128"	1	0
"s.129"	1	0
"s.131"	1	0
"s.132"	1	0
"s.133"	1	0
"s.134"	1	0
"s.135"	1	0
"s.136"	1	0
"s.137"	1	0
"s.138"	1	0
"s.139"	1	0
"s.141"	1	0
"s.142"	1	0
"s.143"	1	0
"s.144"	1	0
"s.146"	1	0
"s.147"	1	0
"s.152"	1	0
"s.153"	1	0
"s.154"	1	0
"s.155"	1	0
"s.156"	1	0
"s.158"	1	0
"s.159"	1	0
"s.160"	1	0
"s.161"	1	0
"s.162"	1	0
"s.163"	1	0
"s.164"	1	0
"s.165"	1	0
"s.166"	1	0
"s.167"	1	0
"s.168"	1	0
"s.169"	1	0
"s.170"	1	0
"s.171"	1	0
"s.172"	1	0
"s.173"	1	0
"s.175"	1	0
"s.176"	1	0
"s.177"	1	0
"s.178"	1	0
"s.179"	1	0
"s.180"	1	0
"s.181"	1	0
"s.182"	1	0
"s.183"	1	0
"s.184"	1	0
"s.185"	1	0
"s.187"	1	0
"s.189"	1	0
"s.190"	1	0
"s.192"	1	0
"s.193"	1	0
"s.194"	1	0
"s.196"	1	0
"s.198"	1	0
"s.199"	1	0
"s.200"	1	0
"s.201"	1	0
"s.202"	1	0
"s.203"	1	0
