"A"	"B"
"s.27"	1	0
"s.50"	1	0
"s.60"	1	0
"s.89"	1	0
"s.98"	1	0
"s.106"	1	0
"s.130"	1	0
"s.163"	1	0
"s.165"	1	0
"s.166"	1	0
"s.169"	1	0
"s.175"	1	0
"s.179"	1	0
"s.181"	1	0
"s.198"	1	0
"s.211"	1	0
"s.229"	1	0
"s.231"	1	0
"s.240"	1	0
"s.250"	1	0
"s.268"	1	0
"s.272"	1	0
"s.274"	1	0
"s.276"	1	0
"s.293"	1	0
"s.304"	1	0
"s.324"	1	0
"s.325"	1	0
"s.335"	1	0
"s.357"	1	0
"s.366"	1	0
"s.370"	1	0
"s.397"	1	0
"s.404"	1	0
"s.408"	1	0
"s.439"	1	0
"s.453"	1	0
"s.459"	1	0
"s.472"	1	0
"s.474"	1	0
"s.484"	1	0
"s.489"	1	0
"s.498"	1	0
"s.502"	1	0
"s.515"	1	0
"s.517"	1	0
"s.525"	1	0
"s.541"	1	0
"s.559"	1	0
"s.584"	1	0
"s.586"	1	0
"s.590"	1	0
"s.595"	1	0
"s.596"	1	0
"s.603"	1	0
"s.605"	1	0
"s.619"	1	0
"s.621"	1	0
"s.635"	1	0
"s.636"	1	0
"s.644"	1	0
"s.646"	1	0
"s.663"	1	0
"s.683"	1	0
"s.699"	1	0
"s.705"	1	0
"s.708"	1	0
"s.717"	1	0
"s.722"	1	0
"s.724"	1	0
"s.761"	1	0
"s.763"	1	0
"s.788"	1	0
"s.801"	1	0
"s.812"	1	0
"s.827"	1	0
"s.830"	1	0
"s.839"	1	0
"s.876"	1	0
"s.880"	1	0
"s.893"	1	0
"s.901"	1	0
"s.902"	1	0
"s.906"	1	0
"s.914"	1	0
"s.924"	1	0
"s.929"	1	0
"s.944"	1	0
"s.949"	1	0
"s.954"	1	0
"s.989"	1	0
"s.1008"	1	0
"s.1033"	1	0
"s.1038"	1	0
"s.1046"	1	0
"s.1052"	1	0
"s.1071"	1	0
"s.1079"	1	0
"s.1107"	1	0
"s.1110"	1	0
"s.1132"	1	0
"s.1133"	1	0
"s.1139"	1	0
"s.1141"	1	0
"s.1160"	1	0
"s.1167"	1	0
"s.1178"	1	0
"s.1198"	1	0
"s.1231"	1	0
"s.1234"	1	0
"s.1248"	1	0
"s.1253"	1	0
"s.1291"	1	0
"s.1304"	1	0
"s.1349"	1	0
"s.1379"	1	0
"s.1390"	1	0
"s.1391"	1	0
"s.1400"	1	0
"s.1412"	1	0
"s.1426"	1	0
"s.1439"	1	0
"s.1443"	1	0
"s.1466"	1	0
"s.1485"	1	0
"s.1516"	1	0
"s.1518"	1	0
"s.1526"	1	0
"s.1532"	1	0
"s.1541"	1	0
"s.1570"	1	0
"s.1572"	1	0
"s.1573"	1	0
"s.1602"	1	0
"s.1617"	1	0
"s.1624"	1	0
"s.1632"	1	0
"s.1646"	1	0
"s.1669"	1	0
"s.1672"	1	0
"s.1678"	1	0
"s.1691"	1	0
"s.1710"	1	0
"s.1722"	1	0
"s.1731"	1	0
"s.1749"	1	0
"s.1764"	1	0
"s.1781"	1	0
"s.1805"	1	0
"s.1816"	1	0
"s.1829"	1	0
"s.1847"	1	0
"s.1868"	1	0
"s.1886"	1	0
"s.1888"	1	0
"s.1898"	1	0
"s.1909"	1	0
"s.1919"	1	0
"s.1928"	1	0
"s.1929"	1	0
"s.1934"	1	0
"s.1950"	1	0
"s.1959"	1	0
"s.1973"	1	0
"s.1981"	1	0
"s.1987"	1	0
"s.1988"	1	0
"s.1989"	1	0
"s.2011"	1	0
"s.2018"	1	0
"s.2038"	1	0
"s.2054"	1	0
"s.2068"	1	0
