"A"	"B"
"s.1"	1	0
"s.2"	1	0
"s.3"	1	0
"s.4"	1	0
"s.5"	1	0
"s.6"	1	0
"s.7"	1	0
"s.8"	1	0
"s.9"	1	0
"s.10"	1	0
"s.11"	1	0
"s.13"	1	0
"s.14"	1	0
"s.15"	1	0
"s.17"	1	0
"s.18"	1	0
"s.19"	1	0
"s.20"	1	0
"s.21"	1	0
"s.23"	1	0
"s.24"	1	0
"s.25"	1	0
"s.26"	1	0
"s.28"	1	0
"s.29"	1	0
"s.30"	1	0
"s.31"	1	0
"s.32"	1	0
"s.33"	1	0
"s.34"	1	0
"s.35"	1	0
"s.36"	1	0
"s.37"	1	0
"s.38"	1	0
"s.40"	1	0
"s.42"	1	0
"s.43"	1	0
"s.44"	1	0
"s.45"	1	0
"s.47"	1	0
"s.48"	1	0
"s.49"	1	0
"s.51"	1	0
"s.52"	1	0
"s.53"	1	0
"s.54"	1	0
"s.55"	1	0
"s.56"	1	0
"s.57"	1	0
"s.59"	1	0
"s.61"	1	0
"s.62"	1	0
"s.63"	1	0
"s.64"	1	0
"s.65"	1	0
"s.66"	1	0
"s.67"	1	0
"s.68"	1	0
"s.69"	1	0
"s.71"	1	0
"s.72"	1	0
"s.73"	1	0
"s.74"	1	0
"s.75"	1	0
"s.76"	1	0
"s.77"	1	0
"s.79"	1	0
"s.80"	1	0
"s.81"	1	0
"s.84"	1	0
"s.85"	1	0
"s.86"	1	0
"s.87"	1	0
"s.88"	1	0
"s.90"	1	0
"s.91"	1	0
"s.93"	1	0
"s.94"	1	0
"s.95"	1	0
"s.96"	1	0
"s.97"	1	0
"s.99"	1	0
"s.100"	1	0
"s.101"	1	0
"s.102"	1	0
"s.103"	1	0
"s.104"	1	0
"s.105"	1	0
"s.107"	1	0
"s.108"	1	0
"s.109"	1	0
"s.110"	1	0
"s.113"	1	0
"s.114"	1	0
"s.115"	1	0
"s.116"	1	0
"s.117"	1	0
"s.118"	1	0
"s.119"	1	0
"s.120"	1	0
"s.121"	1	0
"s.122"	1	0
"s.123"	1	0
"s.124"	1	0
"s.126"	1	0
"s.128"	1	0
"s.129"	1	0
"s.131"	1	0
"s.132"	1	0
"s.133"	1	0
"s.134"	1	0
"s.135"	1	0
"s.136"	1	0
"s.137"	1	0
"s.138"	1	0
"s.139"	1	0
"s.140"	1	0
"s.141"	1	0
"s.142"	1	0
"s.143"	1	0
"s.144"	1	0
"s.147"	1	0
"s.149"	1	0
"s.150"	1	0
"s.151"	1	0
"s.152"	1	0
"s.153"	1	0
"s.154"	1	0
"s.155"	1	0
"s.156"	1	0
"s.157"	1	0
"s.158"	1	0
"s.159"	1	0
"s.160"	1	0
"s.161"	1	0
"s.162"	1	0
"s.164"	1	0
"s.167"	1	0
"s.168"	1	0
"s.170"	1	0
"s.171"	1	0
"s.172"	1	0
"s.173"	1	0
"s.174"	1	0
"s.176"	1	0
"s.180"	1	0
"s.182"	1	0
"s.184"	1	0
"s.185"	1	0
"s.186"	1	0
"s.187"	1	0
"s.188"	1	0
"s.190"	1	0
"s.191"	1	0
"s.192"	1	0
"s.193"	1	0
"s.195"	1	0
"s.196"	1	0
"s.197"	1	0
"s.199"	1	0
"s.200"	1	0
"s.201"	1	0
"s.202"	1	0
"s.203"	1	0
"s.204"	1	0
"s.205"	1	0
"s.206"	1	0
"s.207"	1	0
"s.208"	1	0
"s.209"	1	0
"s.210"	1	0
"s.212"	1	0
"s.213"	1	0
"s.214"	1	0
"s.216"	1	0
"s.217"	1	0
"s.218"	1	0
"s.219"	1	0
"s.220"	1	0
"s.221"	1	0
"s.222"	1	0
"s.223"	1	0
"s.225"	1	0
"s.226"	1	0
"s.227"	1	0
"s.228"	1	0
"s.230"	1	0
"s.232"	1	0
"s.233"	1	0
"s.234"	1	0
"s.237"	1	0
"s.238"	1	0
"s.239"	1	0
"s.241"	1	0
"s.242"	1	0
"s.243"	1	0
"s.244"	1	0
"s.245"	1	0
"s.247"	1	0
"s.248"	1	0
"s.249"	1	0
"s.251"	1	0
"s.252"	1	0
"s.253"	1	0
"s.254"	1	0
"s.256"	1	0
"s.257"	1	0
"s.259"	1	0
"s.260"	1	0
"s.261"	1	0
"s.262"	1	0
"s.263"	1	0
"s.264"	1	0
"s.265"	1	0
"s.266"	1	0
"s.267"	1	0
"s.269"	1	0
"s.270"	1	0
"s.271"	1	0
"s.273"	1	0
"s.275"	1	0
"s.277"	1	0
"s.278"	1	0
"s.279"	1	0
"s.280"	1	0
"s.281"	1	0
"s.282"	1	0
"s.283"	1	0
"s.284"	1	0
"s.285"	1	0
"s.286"	1	0
"s.287"	1	0
"s.289"	1	0
"s.290"	1	0
"s.292"	1	0
"s.295"	1	0
"s.296"	1	0
"s.297"	1	0
"s.298"	1	0
"s.299"	1	0
"s.300"	1	0
"s.301"	1	0
"s.302"	1	0
"s.305"	1	0
"s.306"	1	0
"s.307"	1	0
"s.308"	1	0
"s.309"	1	0
"s.310"	1	0
"s.311"	1	0
"s.312"	1	0
"s.313"	1	0
"s.314"	1	0
"s.315"	1	0
"s.316"	1	0
"s.317"	1	0
"s.318"	1	0
"s.319"	1	0
"s.320"	1	0
"s.321"	1	0
"s.322"	1	0
"s.323"	1	0
"s.326"	1	0
"s.329"	1	0
"s.330"	1	0
"s.331"	1	0
"s.332"	1	0
"s.333"	1	0
"s.334"	1	0
"s.337"	1	0
"s.338"	1	0
"s.339"	1	0
"s.340"	1	0
"s.342"	1	0
"s.343"	1	0
"s.344"	1	0
"s.345"	1	0
"s.346"	1	0
"s.347"	1	0
"s.348"	1	0
"s.350"	1	0
"s.351"	1	0
"s.352"	1	0
"s.353"	1	0
"s.354"	1	0
"s.355"	1	0
"s.356"	1	0
"s.358"	1	0
"s.360"	1	0
"s.361"	1	0
"s.362"	1	0
"s.364"	1	0
"s.365"	1	0
"s.367"	1	0
"s.368"	1	0
"s.369"	1	0
"s.371"	1	0
"s.372"	1	0
"s.373"	1	0
"s.374"	1	0
"s.375"	1	0
"s.376"	1	0
"s.377"	1	0
"s.378"	1	0
"s.379"	1	0
"s.380"	1	0
"s.381"	1	0
"s.382"	1	0
"s.383"	1	0
"s.384"	1	0
"s.385"	1	0
"s.386"	1	0
"s.387"	1	0
"s.388"	1	0
"s.389"	1	0
"s.390"	1	0
"s.392"	1	0
"s.393"	1	0
"s.394"	1	0
"s.395"	1	0
"s.396"	1	0
"s.398"	1	0
"s.399"	1	0
"s.400"	1	0
"s.401"	1	0
"s.402"	1	0
"s.405"	1	0
"s.406"	1	0
"s.407"	1	0
"s.409"	1	0
"s.412"	1	0
"s.413"	1	0
"s.414"	1	0
"s.416"	1	0
"s.419"	1	0
"s.420"	1	0
"s.421"	1	0
"s.422"	1	0
"s.423"	1	0
"s.424"	1	0
"s.425"	1	0
"s.426"	1	0
"s.428"	1	0
"s.430"	1	0
"s.432"	1	0
"s.434"	1	0
"s.436"	1	0
"s.437"	1	0
"s.438"	1	0
"s.440"	1	0
"s.441"	1	0
"s.444"	1	0
"s.445"	1	0
"s.446"	1	0
"s.447"	1	0
"s.448"	1	0
"s.449"	1	0
"s.450"	1	0
"s.451"	1	0
"s.452"	1	0
"s.454"	1	0
"s.455"	1	0
"s.456"	1	0
"s.458"	1	0
"s.460"	1	0
"s.461"	1	0
"s.462"	1	0
"s.463"	1	0
"s.464"	1	0
"s.465"	1	0
"s.466"	1	0
"s.468"	1	0
"s.469"	1	0
