"A"	"B"
"s.1"	1	0
"s.7"	1	0
"s.12"	1	0
"s.13"	1	0
"s.21"	1	0
"s.23"	1	0
"s.24"	1	0
"s.31"	1	0
"s.40"	1	0
"s.48"	1	0
"s.52"	1	0
"s.53"	1	0
"s.54"	1	0
"s.59"	1	0
"s.60"	1	0
"s.61"	1	0
"s.68"	1	0
"s.69"	1	0
"s.70"	1	0
"s.72"	1	0
"s.75"	1	0
"s.76"	1	0
"s.80"	1	0
"s.85"	1	0
"s.95"	1	0
"s.97"	1	0
"s.98"	1	0
"s.103"	1	0
"s.105"	1	0
"s.106"	1	0
"s.111"	1	0
"s.112"	1	0
"s.113"	1	0
"s.117"	1	0
"s.118"	1	0
"s.119"	1	0
"s.120"	1	0
"s.121"	1	0
"s.123"	1	0
"s.124"	1	0
"s.126"	1	0
"s.127"	1	0
"s.128"	1	0
"s.132"	1	0
"s.135"	1	0
"s.136"	1	0
"s.138"	1	0
"s.142"	1	0
"s.148"	1	0
"s.149"	1	0
"s.151"	1	0
"s.152"	1	0
"s.153"	1	0
"s.155"	1	0
"s.156"	1	0
"s.159"	1	0
"s.160"	1	0
"s.163"	1	0
"s.168"	1	0
"s.169"	1	0
"s.176"	1	0
"s.180"	1	0
"s.182"	1	0
"s.186"	1	0
"s.188"	1	0
"s.190"	1	0
"s.193"	1	0
"s.194"	1	0
"s.195"	1	0
"s.200"	1	0
"s.204"	1	0
"s.207"	1	0
"s.214"	1	0
"s.215"	1	0
"s.220"	1	0
"s.222"	1	0
"s.223"	1	0
"s.224"	1	0
"s.227"	1	0
"s.229"	1	0
"s.244"	1	0
"s.247"	1	0
"s.248"	1	0
"s.250"	1	0
"s.257"	1	0
"s.260"	1	0
"s.262"	1	0
"s.264"	1	0
"s.265"	1	0
"s.266"	1	0
"s.283"	1	0
"s.285"	1	0
"s.286"	1	0
"s.289"	1	0
"s.290"	1	0
"s.293"	1	0
"s.299"	1	0
"s.300"	1	0
"s.301"	1	0
"s.304"	1	0
"s.307"	1	0
"s.308"	1	0
"s.309"	1	0
"s.311"	1	0
"s.313"	1	0
"s.322"	1	0
"s.323"	1	0
"s.326"	1	0
"s.327"	1	0
"s.328"	1	0
"s.331"	0	1
"s.337"	0	1
"s.342"	0	1
"s.343"	0	1
"s.351"	0	1
"s.353"	0	1
"s.354"	0	1
"s.361"	0	1
"s.370"	0	1
"s.378"	0	1
"s.382"	0	1
"s.383"	0	1
"s.384"	0	1
"s.389"	0	1
"s.390"	0	1
"s.391"	0	1
"s.398"	0	1
"s.399"	0	1
"s.400"	0	1
"s.402"	0	1
"s.405"	0	1
"s.406"	0	1
"s.410"	0	1
"s.415"	0	1
"s.425"	0	1
"s.427"	0	1
"s.428"	0	1
"s.433"	0	1
"s.435"	0	1
"s.436"	0	1
"s.441"	0	1
"s.442"	0	1
"s.443"	0	1
"s.447"	0	1
"s.448"	0	1
"s.449"	0	1
"s.450"	0	1
"s.451"	0	1
"s.453"	0	1
"s.454"	0	1
"s.456"	0	1
"s.457"	0	1
"s.458"	0	1
"s.462"	0	1
"s.465"	0	1
"s.466"	0	1
"s.468"	0	1
"s.472"	0	1
"s.478"	0	1
"s.479"	0	1
"s.481"	0	1
"s.482"	0	1
"s.483"	0	1
"s.485"	0	1
"s.486"	0	1
"s.489"	0	1
"s.490"	0	1
"s.493"	0	1
"s.498"	0	1
"s.499"	0	1
"s.506"	0	1
"s.510"	0	1
"s.512"	0	1
"s.516"	0	1
"s.518"	0	1
"s.520"	0	1
"s.523"	0	1
"s.524"	0	1
"s.525"	0	1
"s.530"	0	1
"s.534"	0	1
"s.537"	0	1
"s.544"	0	1
"s.545"	0	1
"s.550"	0	1
"s.552"	0	1
"s.553"	0	1
"s.554"	0	1
"s.557"	0	1
"s.559"	0	1
"s.574"	0	1
"s.577"	0	1
"s.578"	0	1
"s.580"	0	1
"s.587"	0	1
"s.590"	0	1
"s.592"	0	1
"s.594"	0	1
"s.595"	0	1
"s.596"	0	1
"s.613"	0	1
"s.615"	0	1
"s.616"	0	1
"s.619"	0	1
"s.620"	0	1
"s.623"	0	1
"s.629"	0	1
"s.630"	0	1
"s.631"	0	1
"s.634"	0	1
"s.637"	0	1
"s.638"	0	1
"s.639"	0	1
"s.641"	0	1
"s.643"	0	1
"s.652"	0	1
"s.653"	0	1
"s.656"	0	1
"s.657"	0	1
"s.658"	0	1
