"s.2"	"s.8"	"s.43"	"s.61"	"s.66"	"s.68"	"s.70"	"s.71"	"s.72"	"s.79"	"s.116"	"s.130"	"s.145"	"s.148"	"s.149"	"s.150"	"s.174"	"s.191"	"s.197"	"s.209"	"s.214"	"s.225"	"s.240"	"s.276"	"s.277"	"s.279"	"s.282"	"s.299"	"s.308"	"s.318"	"s.323"	"s.325"	"s.350"	"s.391"	"s.402"	"s.456"	"s.460"	"s.511"	"s.525"	"s.557"
"prt1"	3.5326657383308	0.705997457064901	2.53010120778597	3.55430767009123	3.18553151367086	2.10341560416152	2.94387663481747	1.99201286810405	0.160649359043509	1.95780029505593	4.28935634177883	2.14000268108548	3.45510469751743	NA	0.749485352350421	NA	5.026118164874	2.02238868968383	3.35988966559074	5.68295840081231	1.26210916308263	3.30766038297495	5.7021655047207	4.31232051681593	2.472190580632	1.75476399222848	2.58963515063875	1.82798690171078	2.54461410044821	1.23305796812344	3.76306067982658	NA	3.11439745418885	-0.176609935806334	3.69694397308235	1.52091143423304	4.08239611005242	3.47812708481538	1.85169006859847	2.18734694053967
"prt2"	-0.486044252473439	0.000457483100833933	1.0075027940172	0.00765278867186214	1.87147133035714	-0.621546947459158	-1.79783159333319	NA	-1.35159172807302	-0.00744603903930902	0.163272848829075	-1.44875827514291	-0.147312860923189	0.756132075562603	0.730269476432988	0.477835048535238	-0.0244771470462967	0.20051808169778	1.12955702179049	1.54524121416771	NA	-0.236321743095252	NA	0.661491355965469	2.25083805941644	0.103509020990601	1.11834159602798	NA	0.449424290634367	0.89839966773017	-0.671258882961846	2.36141399686138	0.650845965964828	-1.3660475686034	-1.03630775843387	-1.61897574058225	0.685243992822115	-0.237881033815258	NA	-1.29072924927525
"prt3"	-1.74570908307942	1.52385648160552	NA	-1.2476761816556	-0.615469972848982	-2.13964565762742	2.24196564635425	-1.55540719537752	-0.0104284759575543	NA	-0.948168262098205	0.645991657637082	0.422316973128676	0.265879805735285	-1.65134582149105	-0.0591522434172629	NA	-0.198279481468799	NA	-1.2541213751589	-0.859880876932134	-2.21467382708242	0.168794321901218	NA	-2.12018625660229	-3.92628111251103	-2.60317488897618	-0.520538644248804	-2.24327505772517	NA	NA	NA	-4.38668862110575	NA	-2.18085376399905	-0.534255572714517	-6.39220611729856	NA	-4.98823123561868	-3.32716744149894
"prt4"	0.515892587901784	2.24354598403634	1.81122819467631	0.736682796366108	1.51016951934491	1.62026996542488	-0.98654607570379	0.39985265380087	2.30007449230224	2.61879035407837	1.34123148903169	-0.747096683847316	3.48981972695607	0.554363286337818	0.939278338590334	3.82312789563684	NA	0.981298459846862	3.21671654687344	0.390221335621493	2.73857628435995	3.17641067985961	1.45326689293566	0.867314532274786	2.25292595615875	0.844451121681662	NA	3.28631735723472	1.37460087485968	-3.15110684963115	1.77194704077817	0.690006411964611	-0.474314433118507	0.714766051215035	-1.64892947058403	1.35780390020571	0.812427611127391	-0.197939644102485	1.82895481123013	0.276129274524942
"prt5"	-1.81769178831663	-1.14584100074302	NA	NA	-1.88728407563135	NA	-0.866246574809196	-0.742701494269069	NA	NA	-1.16014107780229	NA	-2.37501696527085	NA	NA	NA	-2.87703121906421	-1.69687007429586	NA	-3.82630902054897	-2.26447911785734	NA	-1.95292603023091	NA	-1.86356086349062	-5.3077938662838	-2.02072573473924	0.0831457911995203	-1.3904068251447	-1.68551192317004	-3.63796883637133	-1.78393323851542	NA	-3.7038881361777	NA	-3.64622992268264	NA	NA	-3.02741310354502	-3.44869558117738
"prt6"	-2.03439180828915	NA	-2.8242969517226	NA	-2.96243606653014	-1.37717826656927	-2.5221891496712	NA	-0.800730314111124	-0.716231097088842	NA	-0.471569033306927	-3.73037737883602	-3.8714536822899	-1.22193579883553	-5.43620314951424	-0.322745636459741	NA	-0.252786140781611	NA	-4.21776526023474	NA	-4.08844878221291	NA	-2.80465007259833	-0.503459862464298	-3.75140384432268	NA	-0.186120137399153	NA	NA	NA	-4.25925130736864	-1.92403867256536	NA	-1.87000214080694	-3.73418278459169	-3.32402406577148	-4.24839346359184	0.37455049270482
"prt7"	5.33734842795327	5.15993561695624	3.25627162968395	6.57003514866094	2.55305849330098	4.85469957981625	6.82789513227346	7.44923629478568	0.941862471556401	NA	2.41300887211754	1.98824761472602	5.49459543921262	NA	2.7634931256086	1.39175890519427	NA	NA	4.87176326118152	8.59941685398539	6.6930370914376	9.82411204824967	4.70914632112465	6.58713437768191	3.48854179921815	3.95461645118195	1.46411243501716	4.32568896025286	4.5544756705762	4.58437759671633	0.950118392556044	6.65512471218898	NA	2.01859073007012	6.56581986422576	3.13890878096977	6.70594964587257	3.53561727447842	1.79756532736569	7.0868044089061
"prt8"	3.95043683693675	1.61143885214782	0.586085470622436	4.10893836695179	1.683759449028	2.93460311280707	2.16473101814043	5.23869736073862	NA	4.75577515419863	0.892997943988084	3.96163911875219	2.27409182771027	NA	4.07385012807524	2.07758760639743	4.63963832374888	4.35391165664277	2.08090409504035	0.764071096135357	1.95821400653612	1.6273173085472	1.79913010064253	2.34887239384659	2.30989687939352	1.04589045031538	2.28456934015671	NA	2.90837054702107	2.41140194653514	1.22784442932815	3.14729564579704	-0.727500005040439	1.11203477981629	NA	1.81151886080099	1.45084200665531	2.21925534255899	2.33850197231715	1.06302008183945
"prt9"	0.706089435449039	-1.21981149073369	1.79851936147676	1.3839631626461	-1.39813223426771	1.2087841541849	2.59420824081632	1.55172553751674	2.18923711302703	1.803427280745	0.519064874382429	1.25893284175918	-3.09099630479811	2.02833115199905	0.48860383329719	1.61154794722323	2.68254358109366	NA	1.34486361568323	-1.74488624264789	-0.213754257780786	-0.599593067969467	0.596604912272364	1.25897239690017	1.24913744961781	-0.81194264980238	1.98612871615051	1.76401929317712	NA	-0.338983788445263	1.14066636075061	0.585516004435525	-0.543170317045353	0.378248857969279	1.56180791026941	-2.02736133906407	-0.391940523490716	NA	-0.38262128599366	1.65252002990016
"prt10"	NA	0.361382781138145	0.65613050821873	1.39523552044598	-0.19352837187974	1.44467440930182	5.13601930159347	0.380135807916575	2.32700621355541	2.91535026465474	0.241969377627757	1.53885619557815	0.531406311416426	NA	-0.400758800075514	-2.45657467867235	NA	1.34498222515548	NA	0.0431029511021424	1.45124638270439	0.182532705273448	1.01362840555767	3.66141626475082	0.886282595860992	0.0903794897799317	0.196831383380923	NA	1.1497661656137	-0.745908901356611	NA	3.19280724064995	0.546651577169761	1.2276739945193	1.51431505144235	-2.03302189799659	2.31028057859099	0.266201627484829	-0.462673922511441	0.799063376932718
