"s.2"	"s.4"	"s.5"	"s.9"	"s.12"	"s.16"	"s.23"	"s.25"	"s.29"	"s.30"	"s.33"	"s.35"	"s.37"	"s.38"	"s.42"	"s.45"	"s.49"	"s.56"	"s.58"	"s.62"	"s.63"	"s.66"
"prt1"	NA	-0.128954878758401	NA	1.03218371097593	-1.69047302000254	1.75150131579335	NA	1.2209129023027	NA	NA	0.0369254866488417	-2.62141197020494	-0.131917647237727	1.06362800538647	-0.335511550509046	NA	-0.181947540634509	0.380878685136626	-0.307549092712988	NA	-1.92305013482648	-0.0390662137356558
"prt2"	3.18808758090593	-0.847109674739269	-0.0082324888334854	1.42492438793866	1.14628194396831	-0.836410922574666	2.41214512920663	3.05243000668975	NA	NA	1.43502006306454	-1.71169490839197	-0.256993981938048	0.135437362116596	-1.65716173722388	3.802493030848	0.592842669804973	1.87735539420404	1.71604484688623	-0.619194368427994	0.823025359339037	-1.39437933100867
"prt3"	-4.25180796093834	-2.69803615354127	-1.01363173588925	-0.417960200934524	-0.856417061436668	-1.68142846618382	-0.597494535064883	NA	-1.37627243811433	NA	-4.27507325953955	-1.34115412281361	-1.93835265328463	NA	-4.78537085973979	NA	-2.06740236812251	-0.558780463197957	0.958484280897009	-1.09046512238409	NA	0.222123151812362
"prt4"	-1.22248316413437	-2.16075719816018	-1.46617996299267	NA	-1.32765675333422	0.439301124189564	-3.85023729509579	NA	-1.23302027659754	1.54339773337227	0.775128482386976	-0.0234970135065493	-1.10542393394233	NA	-2.14095522214787	0.814586031485961	1.03820123609371	-2.01100416983187	NA	-2.07675145711952	-1.73837199113883	-0.167933141276974
"prt5"	2.88270740983969	3.68050577075411	7.51293124477948	4.55682126707605	5.53237273932472	4.768523784035	NA	3.96356485109372	5.69680160688049	3.65803755813469	5.53287827735135	5.20923169557504	4.11173615073065	2.12959627899604	4.26982597802235	NA	5.63796135922745	4.42067627896597	5.81555389557881	2.09008021760901	2.91159807265178	6.18865182934274
"prt6"	3.86813660990992	-0.947191544686614	4.66833638589032	-1.88116634958773	-3.10554232701576	2.67211151513431	-3.60434890866863	0.444965017632148	NA	NA	2.33111498694176	0.459027878321553	1.94373978699435	1.21049197159919	1.96505921241366	-0.613044471369949	-2.04345635867657	-1.28899081636367	-1.04105569000819	NA	NA	-0.21847516608484
"prt7"	-5.03045573860195	-4.78713503386905	-4.07794987871431	-5.86062843382401	-4.26856073746729	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.72688226164368	NA	NA	-7.04461421838728	NA	-4.9043422195129	-6.45164711342126	NA
"prt8"	-0.365752894208582	-1.70374237580572	-1.91835979849118	0.620336995294046	-3.05767476191509	-6.04279151666976	0.076520329693859	-4.34994302953339	0.664640550937717	-0.188747223036933	-3.99624895163732	NA	-1.25309723789186	NA	NA	NA	-1.99711248081802	NA	-5.57031967474181	-2.91146710503699	NA	2.14190302602529
"prt9"	3.06189753660932	4.82678722558555	1.75814835941504	1.48156724401239	2.0476501466284	NA	0.88385051899491	NA	-1.38141744180121	-0.66772085553119	2.27942856869817	11.5728636211021	NA	4.72945656642731	-6.62857637002216	5.58189437943235	11.3280773150671	NA	-2.0510151302996	-8.66490120871256	-0.0882586106213081	NA
"prt10"	1.7318086245336	0.470851113056095	0.492660779694938	-0.388017209612626	3.86120770811559	0.913019745837302	0.222129746931433	2.05457714058482	2.30022449671996	1.61375210307714	NA	-3.98017362724186	2.36671856145178	-0.102015157042911	0.671939945606671	NA	-3.07269323986233	1.94034477395323	2.88789065781869	2.3959395450323	-2.38120115890172	-0.426777027932304
