"s.3"	"s.31"	"s.35"	"s.52"	"s.57"	"s.83"	"s.103"	"s.106"	"s.140"	"s.151"	"s.157"	"s.186"	"s.188"	"s.195"	"s.210"	"s.229"	"s.232"	"s.253"	"s.257"	"s.273"	"s.287"	"s.292"	"s.296"	"s.319"	"s.327"	"s.335"	"s.338"	"s.342"	"s.355"	"s.362"	"s.366"	"s.373"	"s.374"	"s.382"	"s.384"	"s.395"	"s.397"	"s.399"	"s.401"	"s.412"	"s.416"	"s.422"	"s.430"	"s.454"	"s.458"	"s.461"	"s.473"	"s.477"	"s.480"	"s.481"	"s.487"	"s.491"	"s.494"	"s.495"	"s.497"	"s.500"	"s.508"	"s.518"	"s.521"	"s.526"	"s.531"	"s.532"	"s.534"	"s.541"	"s.543"	"s.553"	"s.555"	"s.558"	"s.566"	"s.571"	"s.572"	"s.582"	"s.583"	"s.587"	"s.588"	"s.591"	"s.594"	"s.596"	"s.599"	"s.600"
"prt1"	2.96685555719699	1.54996719646879	7.67991417199493	5.27204316726676	1.98188151142189	2.75232773055162	2.0408102565721	4.10498930546526	2.90617190277697	3.06698994661024	2.44385210390562	NA	6.10233617036999	4.44607968291847	0.919331227822386	2.95743150703623	NA	NA	0.823105777515501	0.62711238572554	3.72148616746112	4.94009777094085	4.27167353165981	1.90871289107471	3.31904231723165	2.94076880314781	4.76358011975801	1.26039224555325	-0.298258200969959	2.45047848283183	3.39383830408937	2.2791399656568	2.23263628673633	NA	0.926873988486538	NA	1.82447687688291	1.14895798422606	3.34065577243524	1.84424546681931	1.92558907440398	3.97027207813975	2.54375481462739	0.902490671232061	-0.488943327955857	2.12415503541737	0.774357845199717	0.535179702793665	NA	1.33971545825282	1.40797131207843	1.81950833230812	3.17502810089149	3.47281902710531	2.9511651829234	0.892467854079259	1.08106837574122	NA	-0.0542886172508797	1.26696791909489	1.61201485791413	0.900574417078901	4.28359736711383	6.64428563465965	1.74932736602847	3.04527747164625	3.07046124681291	4.20071647919388	0.767705731780719	NA	1.00845438982123	2.49308529204092	-1.42787273484359	2.10237004034842	2.25959514212593	1.25725652082391	0.7185770011762	1.01768516023367	2.03210769135016	2.13371260793638
"prt2"	-0.817658700597934	-1.05372604816778	-0.262240793434816	0.305301605915001	0.211196491469652	NA	-0.99289961935021	-1.28398101500081	NA	-0.517033655553212	1.02110407488134	NA	1.35428720175959	-0.736578064274538	-0.806574130599521	0.398067414116459	-0.308402294480685	0.344064171961839	NA	-0.115247178769525	0.271726321851317	0.235516162248928	-0.768555612139546	-0.103669136152834	-0.940693686961163	1.97835284943548	0.523579133472254	-0.122280623648214	-0.792689824404687	NA	-1.38732120453332	NA	-0.874215522402622	-0.638046752063707	-0.359949791563367	-1.0788725053322	-0.0968972392301042	-0.362651636517196	-0.98619596590952	-1.98173579274932	NA	0.245366659777391	NA	-1.56598918915048	-0.030490782642331	-0.849926920407206	-0.254463809861327	-0.814734618720667	-0.87347431959238	NA	-1.47005262962214	-2.12156704322448	-0.646065625861856	-0.638889880103888	-1.84305232709823	-1.4696143214938	-1.54252226752059	-1.58480913457307	-2.78209575474739	-1.41288490449355	-0.407387485185611	-0.26411898265325	-1.31826637388511	0.684951148695699	-1.58010827567226	NA	-1.43026186466596	NA	-0.424301837104961	-1.09826540284215	-1.3074691404177	-2.30960377054579	-0.675882421857783	NA	-1.77625613993615	-1.09917933792286	-1.61570835867733	-1.30743407175572	0.049022349665854	-1.51142396316735
"prt3"	NA	-2.07944233357757	-1.81098007579659	NA	-1.49003689390272	-0.302557912381316	-0.113889365186395	0.642464582513769	NA	-1.22971449344763	-1.42359115887051	0.25384773021938	-1.24452443911167	-1.62631881602905	-0.573595261000179	-0.34726778988709	NA	-1.57350661301618	0.0631725933250212	2.38563874637983	NA	-2.46258885163455	-1.0583618668036	-1.41538726509911	0.259343490665307	-1.54425794420992	-2.37241919004647	NA	-0.252417417503333	-1.01259613173795	-2.42569982113683	-0.228485959923628	NA	-2.94375112820198	NA	-0.832672981616289	0.256617147538719	-1.39916310432387	-0.236458899991751	-0.706665881044389	-1.14345638952418	-1.19324087418915	NA	-0.171267805627244	NA	-2.30006846332247	-1.19443086380932	-2.7154294382952	-2.04810349554686	-2.55416867800083	-0.752339035031705	0.409412153332888	-1.52007901774009	-1.63668957577698	-1.58985613157704	-1.93630719373153	-1.76437462036997	NA	0.148669177804125	-0.848095543615822	-1.47079284747145	-0.411443238847909	-0.810083634625001	-2.42561952468491	-1.16083960555603	NA	0.099968997655654	-0.889779903066915	-1.04311880352255	NA	NA	-0.878003215138624	-1.40750581800615	1.6727987219628	-1.84197619847029	-1.49834007936654	-0.349986557752405	-2.94888046552459	-0.903893424370759	-1.17348030544831
"prt4"	2.72701674294535	3.12641845409016	2.47486698601372	3.7264763786375	1.84294198136979	2.23108282865961	5.69192632332349	NA	1.37659324680554	NA	2.12569423140175	2.27385094662427	0.838346338869159	2.17120198089213	1.23265403764717	1.42536110668044	1.40245505041284	2.47341769712571	-0.586379905217279	2.74867885702464	5.52404043165072	NA	0.150027800260325	1.82073211221972	3.84823466727038	0.389425451278859	1.55630282084586	0.885657520148945	2.80864053616419	3.62904546453298	1.92335766953625	1.28863645394376	1.46808619823607	0.753309358760528	1.55352391676045	3.288309765176	-1.29270801077963	1.44388557101403	0.68492357189946	-1.12898498226987	-0.498957897147099	0.593163535593151	0.922538202186687	2.92784889478594	-0.943763422154199	0.940008128037893	1.30466316026671	-1.04401598699174	-0.0844533447936981	1.05695459974053	0.392558312339394	1.30213573241326	-1.90451856183919	NA	2.04002552966758	NA	3.66550573863872	1.23049313545177	0.846115286384223	1.63304699434237	0.277472773131804	2.27007115371006	1.74938308080252	NA	1.97440836514942	0.45134409269763	2.48545654964797	1.14822507624471	1.82588275383779	0.764330874649676	-0.0642164259348575	2.31909839744695	NA	1.78657627717149	1.25922326909859	0.355683058724332	2.83382054406016	1.59285520031999	0.563917482605744	0.4693503836817
"prt5"	-1.91312515585676	-1.910624058467	0.331278804019822	-2.76534358429296	0.174892244177369	-0.664918274695147	NA	-0.572331079325335	NA	-1.33166042271746	-1.56961024631936	-2.6918116992996	NA	-1.05196689605816	-1.67722829630712	NA	-1.27042360731574	NA	0.988543336418664	0.5614473351794	-1.67779674380479	-1.92945811791876	-0.505857812496471	-2.14581013902203	-2.31037614748017	NA	-1.66710039142205	-1.42749383549829	NA	NA	NA	NA	-1.35230343235896	0.434208787601533	-1.33952826147005	-2.71516488484395	-2.81014530419045	NA	NA	-1.33253126892105	NA	-2.07016952107141	NA	-3.18626464964047	-3.49708198612727	-1.52883237562424	NA	-2.54279097058237	NA	NA	-2.19870078842684	-1.83975566882047	-2.16590033213901	-3.03747132100857	-2.38196704719254	-3.5038626057046	NA	-2.25335744006454	NA	-2.18763662640844	NA	-2.47224281528701	NA	-2.28602569432639	-1.9045356275441	NA	-1.92511190734561	-2.32553384068533	-2.15280804981286	-2.11227799646855	-2.20208639958253	NA	-2.67517237351541	-4.16147432094931	-2.99516651083882	-2.50279182321638	NA	-2.54049320345652	-2.98459274377057	-2.9387304137242
"prt6"	-0.898732834284357	NA	-0.907693420312468	0.250150436875732	-2.50543274087763	-0.0993003691368754	3.83825264897758	NA	-1.60778195016282	-4.71311287038448	-1.24328086169554	0.568120283724915	-1.18948626265494	-1.06693143344358	0.688325117352828	0.750549830701248	0.41849660022041	NA	-0.966698655961948	NA	0.457771230356242	-2.82160979797792	NA	-0.824859443697508	-1.75799297419827	0.538103682157146	-2.1965651542734	-0.512159267621843	-0.944035639461398	NA	NA	-1.8743229933749	-4.71578726898419	-2.46784968678575	-0.310526262402129	-0.630381457815016	-0.659098317402703	-3.06249055175199	NA	-1.57542061729524	1.81538126266356	-1.37579945436151	-0.895523087974102	-1.80576947306127	-2.35947959667006	NA	NA	NA	-0.580012059287655	NA	-1.29355433745258	-2.28972855837903	-0.158527937393874	-0.637837288958777	-3.71401421106312	NA	NA	NA	-2.28838593772994	-1.31717828575013	NA	-3.36468995019574	-5.5439623473498	NA	-1.54175067870274	-1.28087008979124	-2.72909477508028	-1.62931966064375	NA	NA	-2.92325002444495	1.01169073739244	-0.378014393854671	1.29736029507893	-2.26778168634415	-4.30744522538938	-2.31648343645867	NA	NA	-1.69336050129565
"prt7"	4.01302173586538	3.93726484696568	3.61511573524336	5.9072652083064	1.84459154200225	NA	3.64915806561606	4.94212284932767	4.65130418375331	1.57098286794754	3.48578292840057	4.24621322822799	3.84278916785633	4.97065004112757	4.08174545490023	4.26092056973044	3.50625280843604	4.36231247519198	6.03544477509039	NA	2.39042885126061	4.80373933404253	4.93507818005804	4.20254810086343	4.18837863807433	1.45105088680379	5.27635952324681	4.71920209903117	2.42857845922067	2.57153606821141	2.42365544065062	3.62163294873873	3.44097641594198	2.93475811259677	2.15819771376888	1.35445014081191	1.96238790668747	3.16964510756079	0.697129205792869	NA	3.64772851383595	1.36060227064389	3.33614270818211	2.42320387877613	4.64784545336518	1.524535439096	3.52429451191023	4.07542654892937	0.958625365051489	1.78295214662781	3.6243912036033	4.55615455738417	NA	0.402883205142126	3.15090542723337	1.43893255066988	NA	NA	2.05003617035839	2.88772474368581	3.43276212617416	NA	-0.558652902578214	4.20474686104972	2.44807744292886	3.69418653954591	4.06912511682836	2.40701465562454	1.21218002279336	2.57412971133964	0.170679898977421	3.99758481673616	3.00409276268211	4.14395691818522	3.36530019673584	3.70800308927042	3.68675445213737	4.56836582539336	1.62928532015272	2.61861806793524
"prt8"	2.47548794565445	2.75250907683317	1.97291300806154	4.52818252097421	1.93621605748642	2.09935996949454	2.02973422922234	2.86335629722917	4.03936829333232	2.79034115590899	4.17397316751016	2.44792751154933	2.73449336675937	3.16111588365669	3.57632880538321	1.35098877671792	2.9101749712378	4.6646317539286	0.354123337529137	2.60471700936994	5.01888453648227	3.14936663456762	4.56239309289076	3.21758397337291	3.60838784654327	NA	4.25593393790011	1.95679194162962	2.17136065429889	1.6573813604778	0.544033571915764	3.42683437697299	0.998324139793389	0.173871817763317	0.800767826431695	1.93161249419589	NA	2.22196480502911	NA	0.576376254080548	1.9829366020252	2.90652307240511	0.595508232492049	0.637763399504487	2.31525513490998	2.38169775138691	3.85568331799902	2.97196182292593	1.51282801311085	1.99977250436244	-0.053636810850187	2.85566098130952	2.04574650059731	NA	-0.155582207394675	0.114748551358156	0.826662160219831	-0.749368552141554	0.594438920717619	0.337459094481935	2.51532247642559	0.756030719263914	NA	1.20369216864795	2.97090588283063	2.21219261138815	0.590364098593558	0.335619308753367	2.12355060005395	0.414144124299974	1.47294147220808	2.35852626701028	0.299679729142151	2.64158945181634	3.37560871232141	0.210862116229989	1.15200588423129	NA	0.981103195293615	1.9413514437454
"prt9"	-1.14695441118048	-0.471592257894401	-0.577062237263468	0.450141758056644	0.203000502819247	-2.03987904983719	0.605667319007688	-1.16572387565205	-1.98488597494182	-1.09982384325484	0.73343271889854	-0.106979523833166	1.34065231311808	-2.52380520154617	-0.441301719754884	1.11825970710201	-0.866815205532562	1.49629588196939	-0.462833101309208	-0.597881190596201	1.32038885836682	-2.0581747638991	-0.866406788600005	0.371184357503065	-0.0988363092233262	0.219428593126467	NA	-1.48989548959976	-1.14564558513164	NA	-1.65269716271491	-0.205868295739359	-0.389607016511959	0.480643078017623	-1.0929437065592	0.894026788037981	-1.19340497518362	-1.50756305939244	-1.3343234582709	-1.34285316011494	-0.391859306970115	-0.485527247221931	NA	NA	NA	-0.802954132763336	-1.45673325156938	-0.646140576038522	NA	NA	-1.06244304825377	-1.89264810128226	-1.25597719361776	NA	-2.10099331935722	NA	NA	-1.51725978166105	-1.87982245030486	1.01410774939592	0.522919218120887	-1.83456627633961	2.03272110201911	-0.843109067830008	-0.268447510485212	-1.51035031456301	-0.654883163895173	0.962071501301622	0.0869109745311723	0.0168803417975618	-0.295009042952333	-2.78968984162499	-0.101010767784049	-0.395790384796197	-0.22844531626595	1.04879498884698	NA	-2.733936029106	NA	-0.714922311871542
"prt10"	NA	3.01501865755482	1.98069225261102	3.45453963670513	4.68495099184186	2.7662638685771	0.993144343074717	6.07424139297308	3.65301804915177	1.91510757116461	NA	4.19155663854641	NA	2.0389655483924	3.74773197502463	NA	2.43018119816775	2.06362206095756	3.59704904770869	2.17295079681253	2.31435294154309	2.6925526109559	3.42103699836751	4.72560214361989	3.15447521383815	NA	3.34287224241148	4.12696021012866	2.11000362445002	1.17651003422491	2.1274684419759	1.1791401656569	2.07796709374607	4.5348857751998	1.42455593199987	3.3359995764576	NA	3.47680921225787	3.82512018108491	2.04375876754304	2.39212406814951	3.84244957306598	2.81909533798991	1.80550919376824	1.90864824435344	2.24559744577927	2.35263795519576	1.62340497111232	2.07974061840852	3.68010456665175	2.56589488930093	2.8994356029729	3.18590864443468	2.26372147482236	2.59485546903848	NA	NA	NA	0.949675183716706	2.66783963004623	2.28199998423099	2.79004998263389	4.0563137584875	2.06108355663454	2.79662355239472	2.15198488712915	0.278784355105688	3.78027741877884	0.372437956105902	1.42725459591604	2.20909655095896	0.75083823413178	3.59084425051416	NA	1.44651561061921	2.59928192604607	NA	1.39998045921403	NA	1.84965634776004
