"A"	"B"
"s.3"	1	0
"s.31"	1	0
"s.35"	1	0
"s.52"	1	0
"s.57"	1	0
"s.83"	1	0
"s.103"	1	0
"s.106"	1	0
"s.140"	1	0
"s.151"	1	0
"s.157"	1	0
"s.186"	1	0
"s.188"	1	0
"s.195"	1	0
"s.210"	1	0
"s.229"	1	0
"s.232"	1	0
"s.253"	1	0
"s.257"	1	0
"s.273"	1	0
"s.287"	1	0
"s.292"	1	0
"s.296"	1	0
"s.319"	1	0
"s.327"	1	0
"s.335"	1	0
"s.338"	1	0
"s.342"	1	0
"s.355"	0	1
"s.362"	0	1
"s.366"	0	1
"s.373"	0	1
"s.374"	0	1
"s.382"	0	1
"s.384"	0	1
"s.395"	0	1
"s.397"	0	1
"s.399"	0	1
"s.401"	0	1
"s.412"	0	1
"s.416"	0	1
"s.422"	0	1
"s.430"	0	1
"s.454"	0	1
"s.458"	0	1
"s.461"	0	1
"s.473"	0	1
"s.477"	0	1
"s.480"	0	1
"s.481"	0	1
"s.487"	0	1
"s.491"	0	1
"s.494"	0	1
"s.495"	0	1
"s.497"	0	1
"s.500"	0	1
"s.508"	0	1
"s.518"	0	1
"s.521"	0	1
"s.526"	0	1
"s.531"	0	1
"s.532"	0	1
"s.534"	0	1
"s.541"	0	1
"s.543"	0	1
"s.553"	0	1
"s.555"	0	1
"s.558"	0	1
"s.566"	0	1
"s.571"	0	1
"s.572"	0	1
"s.582"	0	1
"s.583"	0	1
"s.587"	0	1
"s.588"	0	1
"s.591"	0	1
"s.594"	0	1
"s.596"	0	1
"s.599"	0	1
"s.600"	0	1
