"s.3"	"s.6"	"s.7"	"s.8"	"s.11"	"s.19"	"s.20"	"s.21"	"s.22"	"s.26"	"s.27"	"s.36"	"s.39"	"s.40"	"s.41"	"s.44"	"s.52"	"s.53"	"s.54"	"s.55"	"s.59"	"s.60"
"prt1"	1.90037955224459	1.50484761239811	0.185083033728894	-1.33405144542107	1.54890434274222	-0.486538777000963	1.89184502555957	1.660084578867	NA	0.301304080485988	1.43332824486969	-0.299680085863603	-0.290649031891212	0.223677898393467	-0.587691587770769	NA	-1.02755988960937	NA	-1.41396621119371	NA	-1.52133935098714	0.246319565402503
"prt2"	1.00176259980311	0.323932435198894	2.02625711129506	3.23526787666347	1.30939455255951	1.34195031328829	2.40284414290753	1.11742838501766	2.35796322387822	0.183131931625432	2.27518241849811	0.251200344548261	1.03160915601364	NA	4.02597418273487	1.04975312823592	0.705132789624843	-1.20283200614854	-0.506862579162073	3.48329656157298	NA	-0.0214935696654197
"prt3"	1.31505160925095	0.415100241276797	2.40451481260071	0.734913068743357	3.67965360385107	-1.15190881239154	2.36618709732667	3.19543711068996	2.81842604343223	0.833775789213523	-0.118969382007589	-1.63559437498188	1.60932427862734	-0.0369021639453205	NA	-0.470260715806162	-1.14786696372677	1.68320634521826	1.66086983965592	0.389142580200254	NA	0.802325760272477
"prt4"	-2.27574180797547	NA	0.612062646405672	NA	-0.926904993667507	1.64538839755203	NA	-1.58077429686501	4.00993422845958	NA	NA	-2.31811132555193	0.652450405264732	0.403421699557677	NA	0.339081568296373	NA	-1.13849308032931	NA	NA	-1.65884848702704	0.968387874392234
"prt5"	1.55172303519952	7.30389352622136	3.57338608261434	7.44972729134298	7.21135565127245	5.70576753652834	4.9926337275924	4.21677638396871	5.02345586011999	4.10833826457342	3.13144734768123	2.65225360211108	1.97998681940771	1.93814637803662	2.85359540967751	2.72413221643412	NA	1.49834252095246	4.77074096281453	2.04488607969038	4.86463087421108	2.61472540953013
"prt6"	NA	2.43939427542139	2.0821220227843	NA	2.40722833180585	5.94562274363227	2.65426573924075	NA	-1.9132405897911	NA	3.25827109046202	-1.06260426676739	1.44450768058326	-0.795944090678507	0.371864815409444	NA	4.10990970758172	2.77004022322756	4.7549360387269	-1.61622052724884	7.38853642770144	-2.95830700236958
"prt7"	-1.5295163252332	NA	-0.131691204127447	-1.15290582810618	-1.95171973410827	NA	NA	-1.68556032816504	NA	NA	0.121760808124589	NA	NA	NA	NA	NA	-1.81504723118429	-3.48888791642177	NA	NA	NA	-3.57785145699543
"prt8"	-3.30263176697974	0.119903398108889	NA	2.84425063951904	NA	-0.45903346504565	2.96459555835753	-0.308565767813958	0.955015494830174	0.939774353051838	-0.406945455873288	-1.19021787975912	NA	5.6843234635435	1.32663799682327	-3.23610758698226	-2.46781022055212	2.12598574447827	3.13185755305012	NA	2.96342301681924	NA
"prt9"	-2.54551939038133	NA	NA	-0.110832588885784	6.04424019855713	5.23011822135935	NA	6.41305148788014	8.83542208150447	2.36265955895046	NA	1.15343142484637	0.34102745533437	-3.19670916670939	6.94106545565351	NA	NA	7.50238095342869	1.98237780095834	0.695244986065623	0.611981307870827	NA
"prt10"	1.95503857119223	0.461913685526708	-1.05471692382737	-0.988072939759722	-4.05531592672763	-4.75386604212507	-1.55470769176104	0.323468776742061	-3.78954111502607	-0.346188891182791	-0.533147597214787	-1.80241071743492	0.51640118546607	1.81972419162264	-0.66348079312545	4.53323759540044	NA	-1.2058586752533	-0.00776360158747867	-3.00209750956167	-0.773766959748273	NA
"prt11"	0.513768579077895	0.340820957976588	-1.49944661044852	1.65000271379498	-0.930374133952935	NA	2.47915673954964	1.24006002803353	NA	-0.374445749868933	0.770196628453243	NA	-1.70598144250703	0.917929505670154	-0.620021451853276	1.50088658331133	-0.578683952171967	-1.57753930259529	-0.293327413690719	-1.60656769383007	0.512541379262888	-1.58299403033515
"prt12"	0.345623919513091	0.482744435471401	-0.349129309195299	0.395473177168247	0.0778240871527523	-0.365537725441318	0.15405575159309	-1.99492478569052	-1.21711801915214	NA	-1.77265509248705	-0.669941508776806	-1.88770362820443	-2.5623039146767	-1.70476736172748	NA	-1.03165536394628	NA	-3.38205968471109	-2.11198275947512	-1.80882961202431	NA
"prt13"	0.387335589483963	0.189898393536385	NA	-1.0046426110252	0.0458816091833077	-2.25902131151633	0.8546784766	0.668773259459215	-1.00308389826774	2.0685887369074	-0.662852210383201	NA	-1.09579165415981	-3.85055665983087	-3.95442111128671	NA	0.944977041729953	0.320104608510348	-2.18653465410984	1.15956509103323	-0.435823112318058	NA
"prt14"	-0.778923685305529	0.0120314349786841	0.604865940630716	0.81648893014202	2.41694389609433	1.43863310573246	1.69412817346132	-2.01103405863333	2.62698635606916	NA	1.77213947505177	-1.31346678769298	1.1096216370039	2.86145253180168	NA	-0.366112841518205	-0.0614984565691382	0.278134154019471	0.520296944241481	1.79241159785607	-0.797247261735615	1.23320472479107
"prt15"	1.7664167903732	6.13270481474524	6.39136758361907	5.91173299059659	2.94176018892923	4.23966110450037	1.01765719790191	3.0527256378521	-0.956098351471481	3.71967570262582	4.10874990367883	1.55333189264261	-2.90618572920297	0.954601852149861	0.539010911000134	-0.433141565169268	NA	-0.0181019087534996	2.17129493741653	4.9086374168436	-0.4004296500332	NA
"prt16"	-1.75926557593894	NA	-0.958281545261513	-3.80977824648116	0.241570780822536	-5.42169832662214	-2.8330862793824	NA	-0.721315694999583	0.571944135403392	NA	-1.2118312361974	-2.05694950548504	-2.08411447762568	NA	NA	0.23596162129646	-3.8393715315719	-2.29276189674684	-1.79140458780565	-0.44085019523631	-2.31471066427323
"prt17"	1.45686592983527	1.236074915483	1.12710547472829	1.89343396143794	2.5533254397924	2.76105927654858	0.839270140924589	0.0907600511288487	2.49487788560224	1.41447816125271	1.28070193019912	2.24780620648783	0.57000237126517	-0.937127470791767	0.853301755390508	0.443634542006421	0.851130939448993	3.05434099095482	0.892516720660456	NA	2.14822712991392	0.290127467995929
"prt18"	-1.74278072504417	-0.0534526975794916	0.745622377235938	-1.11022675866874	0.689975275218707	1.22910469000091	-0.291711875448543	-3.20592920807277	1.20174671340884	2.56275383734686	-0.809597292501489	0.32078254647738	-1.3460931624886	NA	-4.11958771717411	-0.524475490882936	-0.879976876634156	1.38581119081398	-1.04970987907821	-2.28526928214514	0.334674165071431	1.61809044532696
"prt19"	-2.80042097320974	-1.22135786555453	-2.42192784480073	-1.526686714672	-0.46973606835382	-3.30158654821829	-3.26901538820489	1.10956815531205	-1.00027119961807	-2.54250632069693	-0.610926610275664	-5.15732202054515	NA	NA	-2.40857436757103	-1.46656699733649	NA	NA	-1.8750167879442	-0.184410718030097	NA	-0.886409930499413
"prt20"	3.74136039663323	7.00625841865352	-2.66192085813331	8.14811833684218	5.51507353037202	4.05373299984386	NA	2.20705175131729	5.47794103563633	4.60063501818014	6.22956053156459	-2.63573674663727	2.18344518330936	2.48708292100886	5.28828814032791	-2.45963639652265	6.21415710575234	-1.51968914331115	1.96577086096863	3.48263735457561	NA	-0.027680760250531
"prt21"	2.1415180364205	-0.204273217347255	3.46740240846801	NA	-0.060475628604715	-1.13158542501825	0.77892130006894	NA	-0.13724238527988	-1.14613434949798	2.68698725845341	1.66477686027695	NA	-2.04260434846098	1.09093789378823	NA	-1.11382799702264	0.45489127152083	3.49727091261508	NA	-1.23129131239576	NA
"prt22"	2.02467636710105	1.12799688914815	1.25437938763941	1.62916486092054	-1.79081445085741	2.22245481207706	0.961925576360011	0.498887966196664	0.884526095193421	0.876893483809333	1.92722845013636	1.77009805154044	1.00830865445596	0.154090553997919	-1.1626568101172	-0.306577199216219	-0.42094153246554	-1.59470894395272	0.822514128041414	1.14108112731474	-0.630697302402467	0.641402625722362
"prt23"	NA	-1.64189935689808	NA	0.889553200577498	NA	-0.937542778684843	1.2835616463364	NA	3.08514592206566	-2.26748167228562	NA	-1.56263629780486	NA	-1.39884714044524	-0.806608915535554	-1.55621363286885	-5.37750101577992	-2.74884976051344	-4.76663100798047	NA	-3.82596043818971	NA
"prt24"	2.47888871647596	2.57007196724699	NA	0.24485454304658	NA	NA	NA	-0.660707525044085	1.31288636675814	-0.508118412616867	0.860018809050641	-1.19468334783442	-1.12066883433238	-2.67305642467488	NA	NA	1.78857384048304	-1.59358798021989	NA	2.74710025232429	1.71849475834029	-2.12202110478129
"prt25"	-0.573746747499716	0.959986432411004	NA	-0.465872466803394	-0.526554941055484	-0.140782692207782	-1.01980959573324	-1.08602364092454	-0.14045107480665	0.52024418395657	-1.34791957611085	-2.10926647262629	-0.860700662532407	-2.4345342984946	-2.16444420410884	-2.00223010459252	-1.60696809019855	0.00225153331242856	-0.822458138200225	-1.21826383166294	-1.69030795368601	-1.75079797783163
"prt26"	NA	0.226411646166013	0.628533323220998	-1.82962025515009	1.50016716619788	-1.50707768592708	-1.29980410923016	2.27553516791729	2.54701835121284	NA	0.443278295626445	-1.08339210781063	0.390934291173616	0.206783586940589	-0.461068993488782	3.45649593909462	NA	-0.302047354115454	-1.37838305255878	NA	-2.33627875912489	-3.7955400951969
"prt27"	-4.26625023893047	2.21769858741217	-1.65541884274084	-1.29327159573638	NA	-3.01780873592811	-1.70702209884618	NA	-0.0521794305963992	-0.942964638049708	-2.38095972232004	-4.53553857902286	4.26057477981671	NA	NA	-0.103249343431837	-4.56385464405926	NA	NA	2.17798842695382	-0.345336597105572	NA
"prt28"	-4.14150770410386	0.54325274666074	NA	2.46380779842722	-4.14611718157879	3.97944421854095	0.210736980781055	-0.58836125871006	5.50866358843934	2.76438726425678	-3.51279737769947	-7.15766881356803	-1.8204117405009	NA	2.88859339861735	NA	NA	NA	-0.32359250586358	-6.37310361813689	-0.64184663408174	-1.66630324031876
"prt29"	-2.19833238308565	-0.0712330640128819	0.0406013123967471	2.05920132120736	-0.934511553885518	-0.250906958990471	NA	-4.99130616013388	-1.21096150218764	0.779266166677994	0.0794918756195002	-2.36372765167306	NA	NA	1.07760777648673	-0.454628614008902	NA	-1.59429382601602	-1.86472675321098	-3.25072393543989	-1.43905554921427	NA
"prt30"	0.17642541531681	0.745769260978836	-1.53361030564893	2.77029212528346	NA	NA	1.52258996316357	-1.91042773444092	-3.4854177720248	-2.01560615184792	0.632013035985283	3.28762037753352	-4.5599669429906	-1.93672744677252	NA	-1.22660106329056	NA	-0.9887445489221	-2.51713556642928	-3.6048198027858	NA	-3.91614834560415
"prt31"	4.69017857067377	6.00669192004289	3.24439770418744	3.04999643604904	3.12929598632566	5.0099723559435	5.78304358359495	NA	5.33302662171038	3.22373419814048	5.64228711456779	3.80580692548939	3.40300366369834	NA	4.20830033255005	4.77731571318323	NA	3.90171325334504	2.69778379162623	3.98583543511797	3.40457960822852	NA
"prt32"	2.70744433312351	1.27090610904763	3.5308812505847	2.84414112260027	-0.375922566471264	0.900334360627416	NA	2.24850606858129	1.48924086270458	1.63278936523445	0.266811033165902	-0.00414313222714174	1.5297167767043	0.722377011277033	0.801110083645534	1.3434332586098	1.96817596529712	0.232586559190461	0.931915161633264	-0.670989924104309	NA	1.54440152727952
"prt33"	-1.4828765878611	NA	NA	4.45175395458509	-1.064366486877	-1.36643481774076	-2.47523335077606	NA	0.21321248186625	-3.83114535484006	-1.17654461893798	-1.42220653014188	NA	-2.04126626575284	1.81321803443299	-1.67537632162027	NA	-0.0877191953323732	-2.65674614294764	-1.11616670286918	-2.56058137320266	2.06020636555843
"prt34"	1.7024377456504	-0.00466435504264909	0.890982193929448	NA	3.29886932628607	-0.266049289133549	0.386999919869666	0.757692050928158	0.324840390125583	0.970352035110344	0.680605684651151	0.826314635376422	2.1844278785011	1.16856090610031	NA	-0.936453658088852	0.332721366885682	1.16909686039775	1.91111400238004	0.423565728415728	-0.28602247884468	-1.18157715890242
"prt35"	1.18703136576897	2.57522747942722	3.03703444083319	1.76228951032735	2.13955426090523	NA	1.48208969411018	3.17176623194147	5.45251017915027	3.59551154459469	3.92164233966134	1.54124497188325	1.78945862585074	3.32338209140076	1.61209338993281	3.69170120505755	1.02469982207168	1.68461797767101	2.08009352442117	0.000463848168807124	NA	1.6982218237697
"prt36"	3.86749153801856	5.53968173609622	1.65102232562611	1.25051698665234	2.2555118328863	-0.176107431793371	4.75196334588677	0.196673775520044	2.6550641375057	1.70461549847796	0.376282338374568	NA	0.755466786803801	0.243303212916344	-1.70046273628315	2.56828805606372	NA	3.58215766690988	3.3769270975365	-0.367898249276736	-0.15979906284885	-0.128564926210513
"prt37"	6.50011090003678	2.91798247566132	1.85067793916595	2.96554457135087	4.40489903005829	4.19491828636396	0.685539417985545	1.03934074156448	2.00891291673151	7.9388703469729	2.80392400751615	2.89151344841987	3.47300602800064	4.14310233709699	NA	NA	-1.76153511193354	6.46187112743312	5.68086032590438	4.64792119060949	1.57505619757211	1.67599063344556
"prt38"	1.0565667577324	-1.85380167925364	0.45369146367519	0.665587105409575	-0.307567666268592	3.39360284170834	0.731188399154172	0.563644211561959	NA	NA	-0.964119558553708	-2.07101659665201	0.90962618858533	NA	-0.761990375215263	-1.32081276038795	0.123828336503238	2.74566579529535	-1.14855402552406	1.20487366472971	0.390491688884069	0.686215918364507
