"s.6"	"s.24"	"s.33"	"s.47"	"s.51"	"s.53"	"s.55"	"s.59"
"prt1"	3.52961629939957	NA	3.6565941344469	-0.0726660698908481	-0.100822904051986	-0.705258399407912	1.38969229267053	2.59139561833677
"prt2"	-1.71429548852588	2.93958930572507	NA	-1.81896282643787	0.527493263923757	-0.698151795402876	-1.36089438312536	-1.37565796847082
"prt3"	2.74073472457894	0.928701963937573	2.14425733360525	3.78789365342839	-0.629296120402691	-2.29639054013506	0.0738237718415027	1.83457542449341
"prt4"	0.81666148284011	NA	NA	0.704495922007555	-2.09726286151816	-0.529085786252326	-1.52271028332572	-1.4499025725631
"prt5"	3.35057812188009	NA	-1.52409387882234	0.497388379275227	-0.618146725454708	NA	-3.01014027250971	1.90147283393926
"prt6"	1.89061355897586	1.64084275713025	3.2976924274602	2.61836749146022	2.56407052270462	1.16996908889164	2.28858846274261	2.16488940800621
"prt7"	0.529585343542297	-1.84337015050465	-4.01816640129385	-1.50927161941752	-3.43626049743666	-1.47391400685944	-3.3774112455867	-1.50850853428707
"prt8"	NA	2.47137193628943	2.00562772295799	0.210841559043961	NA	-0.384619218620526	2.46904608515908	1.91511630066057
"prt9"	1.52702793289664	-0.225684578757764	-0.522224560760013	NA	NA	-0.437354437497559	-0.72462151758298	0.265242257386987
"prt10"	5.18211266842988	NA	0.503975839656745	-2.88002580581044	3.21540333365638	-2.3381823429438	1.33940752552792	1.38287501803959
"prt11"	0.858047245876185	-1.09187291253233	-1.41523231211939	-1.56969563949265	NA	-1.78627755445398	NA	-2.74869263743087
"prt12"	1.42138320274943	-0.260434511859343	0.23848048182979	NA	-3.4236168831789	-0.508530658668527	-1.08901621172306	-1.97377922539882
"prt13"	2.12718813038759	1.56905333667808	5.31234048491854	-2.43045865791972	NA	NA	0.649450059740323	-2.95704084388257
"prt14"	8.27870058990144	NA	5.55209794911033	NA	5.34683861198072	3.37683081093945	6.18745878169875	3.82118839785593
"prt15"	0.578925851838657	4.85331031890019	3.27264875493036	2.16451854123537	3.00818978270035	-0.75039420620305	3.16668921887768	3.78708700631517
"prt16"	5.64391090109258	4.94760929647838	5.93110268121471	NA	3.58743950622701	3.67536886044876	1.89222022722931	3.20274663622109
"prt17"	1.95856869271603	NA	-0.252519235793264	4.9022974510091	NA	1.80420571951222	1.14304157333277	4.27226677975501
"prt18"	0.471017912221472	1.29858620613215	3.08186361240369	-0.535986384642651	NA	4.12933202360139	NA	NA
"prt19"	1.00858311453613	1.44317176803296	NA	0.542922883734802	-0.757396724181328	2.75164080181198	-1.67668547556787	1.72387851600809
"prt20"	5.32205030496768	5.04471950004411	NA	NA	2.26729473872905	5.74687268706286	NA	2.48980130626102
"prt21"	4.19280045159898	4.83056829507247	2.46359350863712	3.17455075455832	1.93896631039643	2.16447140891822	2.08041451924933	0.982627039893908
"prt22"	-1.05890758295797	0.725750718333259	1.82067957892914	-1.26024542989349	-0.269640000921204	3.04485019560715	-0.128642854375191	-2.82232793626127
"prt23"	3.88008574734371	NA	1.06601621824162	0.809930513266266	NA	0.878961210543749	1.05365760501707	-0.117325737998727
"prt24"	0.764260640430452	-0.0919181152056813	2.31896444972282	2.08265474829792	6.82839275240893	0.857711749520728	1.68229802608764	0.135411841436336
"prt25"	0.338811204989943	1.70492054210435	0.251587310488579	-1.42919957630718	NA	0.495635879799477	2.61337466500578	-0.817963150121409
"prt26"	-0.615146078685582	0.492657202229469	1.32130840681702	NA	-1.09196839933853	0.909837896999948	-0.55852467540944	0.610459045320741
"prt27"	-1.04234712526071	5.44213293761512	-0.117618166083549	-4.35399153631777	-1.92413698661815	3.20812145376208	3.33261300542084	3.65835937202197
"prt28"	2.8351538115366	-2.7509334697546	0.387499995742341	0.0831058007189862	NA	2.93813710536605	1.75573964706542	9.58225111493715
"prt29"	1.46930185690721	1.13108212917882	NA	0.271237051650214	-1.37739513460835	-0.552863448316737	1.82702980073321	0.760554670283379
"prt30"	NA	-0.349942354026779	0.548405302339287	-0.927007023844885	NA	-0.510631615787658	2.05588121032442	0.387453995231989
"prt31"	-2.49152910280394	-0.92230261676636	1.12540677349267	-1.10374578472708	2.2999956050957	1.42614240084114	0.535409521581917	-1.85413710505327
"prt32"	4.613154764912	6.2217508263989	2.32026746296856	3.58723535120375	NA	2.51553880164787	3.67890794412431	4.55298928995368
"prt33"	2.46538826078264	4.87589015233492	2.9890033949257	2.0086499584251	2.9387884749294	2.01072548233004	-0.388356031834857	NA
"prt34"	NA	4.5706199225507	3.8860607051787	1.44538657880235	2.10799447982095	-0.757815877507251	2.80897069703264	2.64895652832658
"prt35"	-2.26600088577905	-4.27177874309891	NA	-1.1958292019126	NA	0.933876847849548	-3.00491455908597	NA
"prt36"	3.25494211466931	2.13524174310426	3.73962085220118	1.69760607977419	2.72173456522851	1.84924841002516	2.33092344952174	2.64346775409536
"prt37"	2.46762379613112	0.417963374720611	3.19283540529583	2.26608274238879	1.63823389343627	-0.134075063954832	1.01111765188845	2.08257436905133
"prt38"	0.222652272851912	0.0520155634277186	NA	1.1371717991296	-0.336336949080484	NA	-0.764544281830371	-0.392191837485376
"prt39"	0.294784808063114	-0.601588206527241	NA	2.06056143831579	NA	1.7732930205218	NA	-0.133649853408377
"prt40"	2.98935111318698	1.62329827899888	5.72995549099548	1.24337815750664	-3.52259440147986	-0.56118288725347	-0.500748408517271	1.30175043262637
"prt41"	3.54706436181323	0.319623893443588	NA	3.23037749164892	3.74289132520195	2.90492623932508	2.97638661098023	2.72723413759312
"prt42"	-2.03474819462369	-0.63256806459652	-3.10218272047955	-4.63560143993777	NA	-0.823325961681627	NA	NA
"prt43"	5.51268360602044	NA	5.03553425586492	2.20509804835436	2.10261257124519	2.4143058847142	2.73661438037652	2.03171262170918
"prt44"	-0.329097224647838	NA	1.37120728216039	NA	-1.66064556625043	0.922887027880991	2.21610665131579	1.17946774713154
"prt45"	1.77417823275413	1.26184274978486	NA	1.06126329138463	1.5439619328255	1.00960894244399	NA	NA
"prt46"	-0.965173800498478	-0.428544017877116	-6.11770311960516	NA	-4.00029422169147	-2.5588877248533	-2.08817777168129	NA
"prt47"	-1.64130619272688	-1.36299108939133	0.726175568005917	NA	-3.31763506172854	-2.6045513332754	-0.861661042811195	-2.46596754723633
"prt48"	-0.384179456074514	NA	-0.482738517446312	-0.176953918278496	-2.50411807975524	-0.818680946838645	0.181985810934182	NA
"prt49"	-1.73101534008078	NA	-0.402182859297463	-1.863998264111	-1.65848261496888	-0.706000149453453	-1.91910684982614	NA
"prt50"	3.46702592630298	2.84771243448912	4.73123136480904	2.62473498188617	1.14034067042431	0.295148340533178	NA	0.627071741229567
"prt51"	2.78973920662583	-1.51443692951213	NA	-0.21092319870874	NA	-0.398292640717199	-0.200141194394514	NA
"prt52"	0.13932186970327	-0.539288420989372	-0.968844895881852	NA	-1.59595394852616	-2.34890381624743	-1.87355089131195	-3.29253526514951
"prt53"	1.85770170837917	1.7593722764117	1.12370316562396	NA	NA	-0.794821456470703	-0.194616078122881	0.221775372323333
"prt54"	1.27220802261101	-2.0214662958971	-4.47047869676064	-2.73431935066982	0.6675432459899	0.310364853512737	-0.432019341593968	NA
"prt55"	NA	-0.138397366894919	-3.4355322096917	4.33487345479279	1.19676061347603	3.86499316321627	0.565954432214335	4.17325454167933
"prt56"	3.56930681586413	3.1849696009583	1.28822209866466	1.98940490083074	2.80121988812162	1.43477028823155	1.41890562536216	1.00304067507904
"prt57"	NA	2.80372951404082	-1.45988048715574	1.74770622780771	0.257730202119589	-0.541219740267053	-0.245473111684668	-0.27764161946459
"prt58"	1.65915202029553	0.0762009928631023	2.06162781415344	-0.494049146335086	0.133226217049197	NA	1.47615323523597	NA
"prt59"	-0.678201372194253	-5.21440783798302	NA	-4.81262534561788	NA	-2.59776453636083	-0.113448720010458	-2.1556382809617
"prt60"	0.588902524583367	1.03666665669446	0.873923269172017	3.60967580918977	4.46697891593572	NA	1.6344844563183	2.0768188656882
"prt61"	-0.525761824809046	0.307646029484697	-0.573032810208804	-1.8354650703713	-0.924161007627722	-2.87621764553089	0.0496678237538046	1.08097581541127
"prt62"	2.39684194020892	NA	-1.13026659700727	NA	1.08326005255346	0.0230677752294788	-0.2760402394298	-1.248294628388
"prt63"	0.521685842450014	4.19500206490923	3.22300818480989	1.82310786879878	3.4812448844015	4.36489947723976	NA	NA
"prt64"	-0.942275113100676	NA	2.34814374049847	-0.0653474552834455	0.267259062253601	-1.68543759186971	-0.177095652227347	0.409392284637861
"prt65"	1.64318889266277	-1.57489042565165	2.94279474310149	NA	NA	NA	-1.25982401749421	-1.67929977328619
"prt66"	-1.93100415268611	1.45842381904613	-1.72339975972187	0.216884079455735	0.0199470796533905	-1.74280804802951	0.107991344183628	-0.772875145601799
"prt67"	0.809842712792652	NA	4.71057059909871	-0.63296102897792	4.90146269721557	-0.507492019925782	-3.31780426911648	2.5629766512552
"prt68"	3.97753115124066	5.07889032510668	1.90288658046883	NA	5.10774700375492	1.41882360399331	-2.02799001340657	1.36182087618392
"prt69"	5.66761061249067	4.13452394173698	3.85172040024132	-1.73182368437994	3.46988818212283	2.06464934338186	NA	2.39437637339134
"prt70"	NA	0.602973724745981	-1.64524054207024	-1.68860377050122	-1.4999799393499	-3.0971857142973	-1.35807832992403	-1.1475671068594
"prt71"	-3.9891752015651	0.521953640559118	NA	-2.55068236846843	NA	-9.15670076890748	0.607789146486912	-3.3015570965456
"prt72"	0.435524852415392	-0.0291491205390567	-1.11399019124604	-1.11218461086516	0.324507186179565	NA	-3.22333120704733	NA
"prt73"	NA	4.05060904284068	3.79302456729911	-1.18497346985828	-3.37017000356207	NA	-13.127083645764	2.31003113214448
"prt74"	NA	-1.07525869165608	3.93315708933769	0.67958105592213	0.746631765622733	-1.57609526880776	0.783217682611396	0.714161705394422
"prt75"	0.28706488447606	NA	-2.64387773254572	-2.38518761680242	-0.97174675508183	-1.34413064872629	NA	NA
"prt76"	4.97392866748223	7.04322168080723	2.67264192864039	NA	2.09263785432057	1.54386772345574	2.5278039734152	3.84186684015063
"prt77"	4.16144177795444	4.10160610407422	4.76414145158026	NA	-1.01882900847836	NA	3.49041559483187	2.26460254032254
"prt78"	2.86648879682866	-1.8533285717925	4.66824488354538	0.414769428328432	-2.41644650024481	5.06388743298577	3.71065005323183	4.90090442491751
"prt79"	2.35077600664272	-0.380135257143269	0.474364876618635	2.00903004921875	-0.817515444001584	-1.6914552804105	-1.12361927761226	-1.10068417672273
"prt80"	1.49628722556166	1.59807050681749	0.909708587666841	1.42741939569499	-0.383635055258422	0.47164843347012	-1.30902779504724	NA
"prt81"	1.87615543527859	3.80309134069445	NA	1.75252564482463	3.12481268375837	2.98276626272814	3.23602822683283	3.03114044211394
"prt82"	5.13096024016612	3.34482022058724	4.27177060687888	1.21869804995037	2.36528938979018	1.93994390470631	NA	3.98765759682569
"prt83"	0.0372328039681192	0.883928997425167	1.6030429712961	0.0436556750827153	4.00496168152224	1.07132200845718	-0.78567205356973	0.207785077410205
"prt84"	3.96219536236246	3.48403649876828	NA	0.650670121031743	-1.43214360257575	5.75109925114001	5.12362554670169	3.49665290022421
"prt85"	2.87578584133452	1.07392921464545	NA	5.37889569922685	-1.26991866124981	1.23191211975147	-5.99745030371061	-0.377501974531974
"prt86"	0.0131472263498343	2.48284643819779	-0.575606292415338	1.36403006667512	1.56725472006865	2.00168002060399	0.0728836151346124	1.58611021978241
"prt87"	-0.378492606648004	1.26470059434641	1.75090757800519	0.55797051697475	2.64439527941148	-0.963170064110203	1.8905342446655	0.160700890311465
"prt88"	4.32481517893144	4.74333791160336	3.53331073794548	2.48792572588646	4.07338098532331	1.60046880987182	1.95540571083626	2.27630992326939
"prt89"	-2.00679835795365	-1.23623392568163	-1.45113713662699	NA	-1.97470109640752	-2.48722942221909	-1.85937241640115	-2.18621789336161
"prt90"	1.60329972268292	4.36068473567695	3.10644085192464	-4.74712668264485	-1.34966590826519	-0.666007792807113	0.593741948313622	NA
"prt91"	4.37109365275188	5.70524776288199	3.65497065960463	4.22435687748616	3.9161159830748	4.51924516838606	5.03380691740847	4.79444820227216
