"A"	"B"
"s.10"	1	0
"s.15"	1	0
"s.16"	1	0
"s.17"	1	0
"s.28"	1	0
"s.29"	1	0
"s.30"	1	0
"s.33"	1	0
"s.35"	1	0
"s.36"	1	0
"s.37"	1	0
"s.42"	1	0
"s.44"	1	0
"s.48"	1	0
"s.51"	1	0
"s.62"	1	0
"s.68"	1	0
"s.72"	1	0
"s.76"	1	0
"s.77"	1	0
"s.80"	1	0
"s.85"	1	0
"s.86"	1	0
"s.87"	1	0
"s.90"	1	0
"s.91"	1	0
"s.94"	1	0
"s.95"	1	0
"s.97"	1	0
"s.101"	1	0
"s.106"	1	0
"s.111"	1	0
"s.116"	1	0
"s.117"	1	0
"s.120"	1	0
"s.121"	1	0
"s.129"	1	0
"s.132"	1	0
"s.134"	1	0
"s.135"	1	0
"s.140"	1	0
"s.152"	1	0
"s.153"	1	0
"s.155"	1	0
"s.157"	1	0
"s.159"	1	0
"s.161"	1	0
"s.166"	1	0
"s.167"	1	0
"s.168"	1	0
"s.177"	1	0
"s.180"	1	0
"s.182"	1	0
"s.198"	1	0
"s.208"	1	0
"s.215"	1	0
"s.218"	1	0
"s.219"	1	0
"s.220"	1	0
"s.225"	1	0
"s.229"	1	0
"s.230"	1	0
"s.231"	1	0
"s.232"	1	0
"s.234"	1	0
"s.235"	1	0
"s.236"	1	0
"s.246"	1	0
"s.247"	1	0
"s.248"	1	0
"s.250"	1	0
"s.261"	1	0
"s.262"	1	0
"s.269"	1	0
"s.276"	1	0
"s.278"	1	0
"s.279"	1	0
"s.282"	1	0
"s.283"	1	0
"s.286"	1	0
"s.289"	1	0
"s.290"	1	0
"s.295"	1	0
"s.298"	1	0
"s.299"	1	0
"s.300"	1	0
"s.304"	1	0
"s.305"	1	0
"s.308"	1	0
"s.310"	1	0
"s.312"	1	0
"s.325"	0	1
"s.331"	0	1
"s.344"	0	1
"s.345"	0	1
"s.347"	0	1
"s.349"	0	1
"s.352"	0	1
"s.354"	0	1
"s.356"	0	1
"s.357"	0	1
"s.360"	0	1
"s.371"	0	1
"s.391"	0	1
"s.397"	0	1
"s.398"	0	1
"s.399"	0	1
"s.400"	0	1
"s.402"	0	1
"s.406"	0	1
"s.416"	0	1
"s.421"	0	1
"s.441"	0	1
"s.442"	0	1
"s.443"	0	1
"s.451"	0	1
"s.452"	0	1
"s.454"	0	1
"s.458"	0	1
"s.475"	0	1
"s.480"	0	1
"s.481"	0	1
"s.487"	0	1
"s.489"	0	1
"s.490"	0	1
"s.494"	0	1
"s.499"	0	1
"s.500"	0	1
"s.508"	0	1
"s.512"	0	1
"s.518"	0	1
"s.523"	0	1
"s.538"	0	1
"s.540"	0	1
"s.547"	0	1
"s.549"	0	1
"s.561"	0	1
"s.573"	0	1
"s.582"	0	1
"s.587"	0	1
